******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_cross_entropy_loss, valid_kl_loss, valid_argmax_MAE, valid_accuracy
001, 19.3202, 47.1494, 19.3202, 10.4646, 88.8977, 15.8051, 42.0642, 15.8051, 8.6384, 90.8855
002, 16.7678, 44.1085, 16.7678, 9.1394, 90.3497, 23.4815, 52.3921, 23.4815, 13.0121, 86.8226
003, 15.9051, 43.0314, 15.9051, 8.7304, 90.7660, 13.6334, 39.6563, 13.6334, 7.4412, 92.0546
004, 15.2891, 42.2586, 15.2891, 8.3275, 91.1632, 13.8746, 40.5513, 13.8746, 7.5224, 91.9189
005, 15.0852, 42.0175, 15.0852, 8.2680, 91.2280, 13.6043, 39.7184, 13.6043, 7.5557, 91.9083
006, 14.8349, 41.6935, 14.8349, 8.0997, 91.3906, 13.3630, 40.2386, 13.3630, 7.3169, 92.2889
007, 14.3736, 41.1115, 14.3736, 7.8077, 91.6873, 12.8696, 39.8215, 12.8696, 7.0099, 92.5436
008, 14.0759, 40.7512, 14.0759, 7.7042, 91.7871, 12.7416, 39.2998, 12.7416, 7.1289, 92.4162
009, 13.9735, 40.6270, 13.9735, 7.6494, 91.8426, 12.5094, 38.9306, 12.5094, 6.7346, 92.6748
010, 13.6653, 40.2355, 13.6653, 7.4303, 92.0596, 12.5204, 39.0097, 12.5204, 6.9249, 92.6611
011, 13.5660, 40.1153, 13.5660, 7.3797, 92.1139, 12.2469, 38.9799, 12.2469, 6.7688, 92.8461
012, 13.3501, 39.8366, 13.3501, 7.2873, 92.2020, 12.4047, 39.2475, 12.4047, 6.8582, 92.7642
013, 13.2840, 39.7676, 13.2840, 7.2411, 92.2475, 12.2300, 38.6519, 12.2300, 6.5989, 92.9037
014, 12.9980, 39.3962, 12.9980, 7.0712, 92.4189, 11.8110, 38.0492, 11.8110, 6.4056, 93.0569
015, 12.9903, 39.3966, 12.9903, 7.0422, 92.4517, 12.2242, 38.1871, 12.2242, 6.6497, 92.7786
016, 12.7766, 39.1202, 12.7766, 6.9511, 92.5371, 11.6288, 37.0633, 11.6288, 6.2312, 93.2911
017, 12.5616, 38.8407, 12.5616, 6.8302, 92.6602, 11.8965, 37.9844, 11.8965, 6.4223, 93.0318
