******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_cross_entropy_loss, valid_kl_loss, valid_argmax_MAE, valid_accuracy
001, 19.1724, 46.9717, 19.1724, 10.3902, 88.9609, 17.6451, 44.6014, 17.6451, 9.6588, 90.0144
002, 16.6066, 43.9069, 16.6066, 9.0417, 90.4520, 22.4231, 51.1980, 22.4231, 12.1304, 87.7028
003, 15.7948, 42.9055, 15.7948, 8.6611, 90.8376, 13.9075, 40.4795, 13.9075, 7.4382, 92.0144
004, 15.2383, 42.2003, 15.2383, 8.2930, 91.2025, 13.4577, 40.8645, 13.4577, 7.3791, 92.1873
005, 14.9052, 41.7947, 14.9052, 8.1324, 91.3623, 12.8315, 39.5236, 12.8315, 6.9530, 92.5853
006, 14.5599, 41.3609, 14.5599, 7.9314, 91.5626, 12.7567, 38.8545, 12.7567, 7.0599, 92.5254
007, 14.2894, 41.0166, 14.2894, 7.7509, 91.7401, 13.2681, 39.7346, 13.2681, 7.1160, 92.2479
008, 14.0469, 40.7190, 14.0469, 7.6416, 91.8479, 13.2800, 40.2476, 13.2800, 7.4375, 92.2161
009, 13.7377, 40.3298, 13.7377, 7.4488, 92.0410, 12.4945, 39.0629, 12.4945, 6.6808, 92.7074
010, 13.6517, 40.2327, 13.6517, 7.4400, 92.0496, 12.4847, 38.8133, 12.4847, 6.9128, 92.6679
011, 13.4430, 39.9589, 13.4430, 7.3247, 92.1676, 14.0579, 41.1809, 14.0579, 7.9742, 91.7248
012, 13.3265, 39.8193, 13.3265, 7.2503, 92.2392, 13.5400, 40.5251, 13.5400, 7.5557, 92.1395
013, 13.1165, 39.5554, 13.1165, 7.1520, 92.3413, 12.6626, 39.1994, 12.6626, 7.0697, 92.5648
014, 12.9254, 39.3136, 12.9254, 7.0166, 92.4767, 12.0257, 38.0312, 12.0257, 6.5444, 92.9886
015, 12.8032, 39.1599, 12.8032, 6.9263, 92.5669, 12.0917, 38.1117, 12.0917, 6.6103, 92.8916
016, 12.6459, 38.9613, 12.6459, 6.8385, 92.6583, 11.9556, 37.7960, 11.9556, 6.5201, 92.9636
017, 12.5206, 38.8006, 12.5206, 6.7903, 92.7011, 11.5571, 37.7742, 11.5571, 6.2843, 93.2047
018, 12.4453, 38.7158, 12.4453, 6.7634, 92.7247, 12.4577, 39.0845, 12.4577, 6.8453, 92.7763
019, 12.4161, 38.6754, 12.4161, 6.7527, 92.7345, 12.6891, 39.2978, 12.6891, 7.0531, 92.5572
020, 12.3167, 38.5479, 12.3167, 6.6614, 92.8300, 11.7463, 37.9028, 11.7463, 6.3624, 93.1440
021, 12.0239, 38.1944, 12.0239, 6.5120, 92.9777, 11.5335, 37.1037, 11.5335, 6.2191, 93.2464
022, 11.9156, 38.0484, 11.9156, 6.4516, 93.0392, 11.8192, 38.1176, 11.8192, 6.5663, 93.0440
023, 11.9371, 38.0770, 11.9371, 6.4840, 93.0076, 11.7394, 37.7341, 11.7394, 6.5072, 93.0083
024, 11.7265, 37.8111, 11.7265, 6.3714, 93.1234, 11.7538, 37.8081, 11.7538, 6.4071, 93.0061
025, 11.6904, 37.7597, 11.6904, 6.3126, 93.1775, 11.4396, 38.0231, 11.4396, 6.1721, 93.3086
026, 11.5478, 37.5889, 11.5478, 6.2769, 93.2155, 11.6875, 38.0998, 11.6875, 6.2934, 93.2214
