******************************************************************
records on MORPH2 dataset under S1-S2-S3 protocol
******************************************************************


epoch, train_total_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_argmax_MAE, valid_accuracy
001, 24.1366, 10.6625, 89.3740, 23.7214, 10.9447, 89.2050
002, 21.0724, 9.3502, 90.7327, 20.5432, 8.7453, 91.3241
003, 19.9371, 8.7705, 91.3114, 17.7286, 7.9363, 92.1468
004, 19.3496, 8.5384, 91.5434, 16.5123, 7.1812, 92.8892
005, 18.7696, 8.2924, 91.7891, 16.6461, 7.4200, 92.6512
006, 18.2339, 8.0035, 92.0755, 16.3180, 7.1820, 92.8899
007, 18.1988, 8.0142, 92.0636, 16.5203, 7.4041, 92.6670
008, 17.7635, 7.7842, 92.2912, 15.5440, 6.9712, 93.0881
009, 17.4503, 7.6847, 92.3906, 14.9711, 6.5580, 93.5062
010, 17.3323, 7.6361, 92.4355, 14.9403, 6.4966, 93.5647
011, 16.9747, 7.4842, 92.5883, 15.2411, 6.6732, 93.3936
012, 16.8418, 7.4090, 92.6632, 17.5774, 7.6505, 92.4268
013, 16.6631, 7.3186, 92.7527, 16.1328, 7.1039, 92.9650
014, 16.2570, 7.1461, 92.9237, 15.3065, 6.6308, 93.4371
015, 16.3278, 7.1461, 92.9227, 16.1729, 7.1827, 92.8854
016, 16.1886, 7.1394, 92.9304, 16.3475, 6.9295, 93.1444
017, 15.8118, 6.9726, 93.0964, 15.4053, 6.6171, 93.4469
018, 15.7590, 6.9082, 93.1581, 15.0040, 6.5178, 93.5497
019, 15.6317, 6.8779, 93.1894, 15.6736, 6.7058, 93.3606
020, 15.3540, 6.7732, 93.2943, 14.7192, 6.2328, 93.8305
021, 15.2003, 6.6999, 93.3654, 14.5389, 6.4526, 93.6128
022, 15.1567, 6.6579, 93.4085, 14.6892, 6.3533, 93.7119
023, 15.0915, 6.6537, 93.4109, 14.6238, 6.4549, 93.6150
024, 14.8785, 6.5052, 93.5571, 14.5328, 6.3768, 93.6893
025, 14.8029, 6.5211, 93.5438, 14.7636, 6.4253, 93.6330
026, 14.6788, 6.4239, 93.6393, 14.8328, 6.3851, 93.6781
027, 14.5818, 6.3774, 93.6848, 13.9361, 6.0197, 94.0414
028, 14.4554, 6.3499, 93.7137, 14.1955, 6.0781, 93.9821
029, 14.1644, 6.1749, 93.8849, 14.5432, 6.2017, 93.8605
030, 14.0913, 6.1793, 93.8831, 14.7747, 6.3487, 93.7156
031, 12.8473, 5.5889, 94.4662, 13.6838, 5.7892, 94.2673
032, 12.2286, 5.3484, 94.7050, 13.6036, 5.7604, 94.2966
033, 12.0525, 5.2384, 94.8132, 13.8031, 5.7240, 94.3326
034, 11.7523, 5.1275, 94.9231, 13.8091, 5.6929, 94.3634
035, 11.7123, 5.0895, 94.9609, 14.0428, 5.7127, 94.3439
036, 11.6959, 5.0858, 94.9650, 13.7105, 5.6748, 94.3814
037, 11.4641, 4.9741, 95.0743, 13.8420, 5.6543, 94.4017
038, 11.4140, 4.9841, 95.0655, 13.9946, 5.6535, 94.4025
039, 11.1668, 4.8615, 95.1859, 14.0923, 5.6641, 94.3919
040, 11.2766, 4.9113, 95.1363, 14.1390, 5.6581, 94.3987
041, 11.0892, 4.8155, 95.2321, 14.0885, 5.6300, 94.4257
042, 10.7647, 4.7007, 95.3457, 13.8309, 5.5838, 94.4715
043, 10.8624, 4.7509, 95.2959, 14.3739, 5.6573, 94.3987
044, 10.8263, 4.6976, 95.3486, 14.2459, 5.6088, 94.4467
045, 10.8369, 4.7364, 95.3105, 14.1087, 5.6346, 94.4220
046, 10.6201, 4.6091, 95.4361, 14.3873, 5.6422, 94.4137
047, 10.4528, 4.5302, 95.5141, 14.5640, 5.6588, 94.3972
048, 10.3977, 4.5320, 95.5124, 14.7957, 5.7324, 94.3244
049, 10.4032, 4.5425, 95.5034, 14.9511, 5.7756, 94.2808
050, 10.3714, 4.5119, 95.5329, 14.9164, 5.7013, 94.3544
051, 10.1623, 4.3964, 95.6477, 14.6165, 5.6490, 94.4062
052, 9.9364, 4.3202, 95.7226, 14.8321, 5.6914, 94.3649
053, 9.9090, 4.3165, 95.7254, 14.8516, 5.6854, 94.3709
054, 9.8309, 4.2817, 95.7604, 14.7040, 5.6323, 94.4227
055, 9.8417, 4.2966, 95.7453, 14.9092, 5.6770, 94.3792
056, 10.0363, 4.3947, 95.6483, 14.7185, 5.6414, 94.4145
057, 9.8454, 4.2604, 95.7813, 14.7427, 5.6619, 94.3927
058, 9.8239, 4.2958, 95.7465, 14.9734, 5.6626, 94.3927
059, 9.8303, 4.2685, 95.7736, 14.8103, 5.6528, 94.4040
060, 9.7651, 4.2407, 95.8012, 14.8001, 5.6543, 94.4002
061, 9.7527, 4.2595, 95.7826, 14.6346, 5.6338, 94.4220
062, 9.7827, 4.2693, 95.7734, 14.7574, 5.6573, 94.3972
063, 9.6674, 4.1961, 95.8453, 14.8013, 5.6482, 94.4092
064, 9.7113, 4.1931, 95.8485, 14.8617, 5.6641, 94.3927
065, 9.8477, 4.2942, 95.7480, 14.8613, 5.6573, 94.3987
test_total_loss, test_argmax_MAE, test_accuracy:
14.3151, 5.8010, 94.2561
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.177, 0.291, 0.392, 0.483, 0.573, 0.649, 0.720, 0.778, 0.820, 0.856

test_total_loss, test_argmax_MAE, test_accuracy:
14.3151, 5.8010, 94.2561
