******************************************************************
records on MORPH2 dataset under S1-S2-S3 protocol
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy
001, 10.9133, 36.2947, 10.9133, 5.8478, 93.4851
002, 8.6175, 33.6383, 8.6175, 4.6475, 94.7821
003, 8.0994, 32.9989, 8.0994, 4.3394, 95.0910
004, 7.7534, 32.5505, 7.7534, 4.1684, 95.2609
005, 7.4027, 32.1161, 7.4027, 3.9612, 95.4738
006, 7.1779, 31.8301, 7.1779, 3.8443, 95.5822
007, 7.0228, 31.6387, 7.0228, 3.7758, 95.6549
008, 6.8407, 31.3992, 6.8407, 3.6637, 95.7695
009, 6.8069, 31.3600, 6.8069, 3.6436, 95.7895
010, 6.5882, 31.0837, 6.5882, 3.5389, 95.8880
011, 6.4245, 30.8657, 6.4245, 3.4717, 95.9615
012, 6.4525, 30.9186, 6.4525, 3.4519, 95.9758
013, 6.2889, 30.7051, 6.2889, 3.3554, 96.0643
014, 6.2932, 30.7218, 6.2932, 3.3856, 96.0483
015, 6.2316, 30.6287, 6.2316, 3.3476, 96.0779
016, 6.0171, 30.3582, 6.0171, 3.2281, 96.2048
017, 6.0314, 30.3795, 6.0314, 3.2419, 96.1869
018, 5.9368, 30.2608, 5.9368, 3.1901, 96.2465
019, 5.8787, 30.1835, 5.8787, 3.1475, 96.2791
020, 5.8694, 30.1703, 5.8694, 3.1476, 96.2811
021, 5.7239, 29.9957, 5.7239, 3.0691, 96.3597
022, 5.6921, 29.9388, 5.6921, 3.0749, 96.3595
023, 5.5676, 29.7861, 5.5676, 2.9790, 96.4534
024, 5.5527, 29.7795, 5.5527, 2.9940, 96.4311
025, 5.5736, 29.8029, 5.5736, 2.9964, 96.4361
026, 5.5147, 29.7317, 5.5147, 2.9501, 96.4797
027, 5.3873, 29.5524, 5.3873, 2.8895, 96.5344
028, 5.3477, 29.5200, 5.3477, 2.8796, 96.5512
029, 5.4255, 29.6101, 5.4255, 2.9062, 96.5245
030, 5.4055, 29.5842, 5.4055, 2.8972, 96.5374
031, 4.9139, 28.9698, 4.9139, 2.6542, 96.7945
032, 4.6000, 28.5752, 4.6000, 2.4633, 96.9786
033, 4.4706, 28.4049, 4.4706, 2.3984, 97.0374
034, 4.4215, 28.3401, 4.4215, 2.3641, 97.0662
035, 4.3268, 28.2236, 4.3268, 2.3313, 97.1032
036, 4.3473, 28.2491, 4.3473, 2.3235, 97.1081
037, 4.2646, 28.1229, 4.2646, 2.2896, 97.1366
038, 4.2351, 28.1013, 4.2351, 2.2545, 97.1783
039, 4.1989, 28.0496, 4.1989, 2.2378, 97.1903
040, 4.1988, 28.0512, 4.1988, 2.2467, 97.1821
041, 4.1693, 28.0127, 4.1693, 2.2278, 97.1969
042, 4.1331, 27.9624, 4.1331, 2.1978, 97.2299
043, 4.1403, 27.9828, 4.1403, 2.2120, 97.2076
044, 4.1092, 27.9286, 4.1092, 2.1885, 97.2335
045, 4.0287, 27.8247, 4.0287, 2.1447, 97.2809
046, 4.0266, 27.8333, 4.0266, 2.1501, 97.2739
047, 4.0028, 27.7898, 4.0028, 2.1397, 97.2820
048, 3.9670, 27.7467, 3.9670, 2.1295, 97.3022
049, 3.9464, 27.7144, 3.9464, 2.1152, 97.3054
050, 3.9713, 27.7566, 3.9713, 2.1378, 97.2944
051, 3.8443, 27.5825, 3.8443, 2.0501, 97.3719
052, 3.8564, 27.6044, 3.8564, 2.0670, 97.3588
053, 3.8055, 27.5353, 3.8055, 2.0294, 97.3960
054, 3.8091, 27.5432, 3.8091, 2.0326, 97.3935
055, 3.7900, 27.5163, 3.7900, 2.0250, 97.4004
056, 3.8123, 27.5663, 3.8123, 2.0377, 97.3834
057, 3.8221, 27.5600, 3.8221, 2.0330, 97.3950
058, 3.7586, 27.4716, 3.7586, 2.0186, 97.4060
059, 3.7921, 27.5262, 3.7921, 2.0218, 97.3982
060, 3.7979, 27.5313, 3.7979, 2.0338, 97.3914
061, 3.8084, 27.5218, 3.8084, 2.0367, 97.3903
062, 3.7817, 27.4954, 3.7817, 2.0173, 97.4034
063, 3.7487, 27.4513, 3.7487, 1.9978, 97.4185
064, 3.8225, 27.5335, 3.8225, 2.0363, 97.3849
065, 3.7862, 27.5175, 3.7862, 1.9962, 97.4267
test_total_loss, test_cross_entropy_loss, test_kl_loss, test_argmax_MAE, test_accuracy:
5.7126, 30.1259, 5.7126, 2.7544, 96.5976
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.374, 0.563, 0.706, 0.807, 0.874, 0.921, 0.950, 0.969, 0.982, 0.989

