******************************************************************
records on AgeDB dataset under five-fold cross-validation protocol
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_cross_entropy_loss, valid_kl_loss, valid_argmax_MAE, valid_accuracy
001, 14.9453, 75.7973, 14.9453, 11.4942, 78.7246, 14.0651, 73.8659, 14.0651, 12.8249, 82.9386
002, 12.7813, 72.6455, 12.7813, 10.4937, 82.7147, 13.0521, 72.4215, 13.0521, 11.2449, 84.5914
003, 12.1441, 71.5881, 12.1441, 10.0553, 83.4121, 10.5529, 67.8851, 10.5529, 8.6566, 85.6368
004, 11.8717, 71.1353, 11.8717, 9.8097, 83.8331, 10.1901, 67.3317, 10.1901, 7.7657, 85.6262
005, 11.4682, 70.4644, 11.4682, 9.4918, 84.3485, 10.1294, 68.1506, 10.1294, 8.7248, 86.1440
006, 11.2975, 70.1863, 11.2975, 9.3800, 84.5902, 9.8785, 67.7893, 9.8785, 8.8560, 86.3412
007, 11.0292, 69.7384, 11.0292, 9.1691, 84.9238, 10.1473, 68.4341, 10.1473, 9.4276, 86.5603
008, 10.8413, 69.4303, 10.8413, 9.0053, 85.2155, 10.1137, 67.4659, 10.1137, 9.0751, 87.7885
009, 10.6563, 69.1262, 10.6563, 8.9397, 85.4287, 9.4602, 67.6171, 9.4602, 7.4170, 87.2684
010, 10.4508, 68.7878, 10.4508, 8.7570, 85.6610, 8.9019, 66.1389, 8.9019, 7.4625, 87.5163
011, 10.2917, 68.5198, 10.2917, 8.5938, 85.8946, 9.8921, 67.8241, 9.8921, 9.3139, 86.9393
012, 10.3899, 68.6898, 10.3899, 8.6897, 85.8454, 10.0581, 68.4207, 10.0581, 10.0152, 86.5292
013, 10.1069, 68.2032, 10.1069, 8.4652, 86.0913, 9.4804, 66.9632, 9.4804, 8.9894, 87.4663
014, 9.9559, 67.9595, 9.9559, 8.3329, 86.3405, 8.7642, 65.0837, 8.7642, 7.0478, 89.2199
015, 9.8940, 67.8606, 9.8940, 8.3234, 86.4674, 9.3284, 66.5136, 9.3284, 7.0326, 88.2547
016, 9.8898, 67.8481, 9.8898, 8.2722, 86.4875, 8.8320, 65.3406, 8.8320, 7.6262, 89.0091
017, 9.6760, 67.4770, 9.6760, 8.1337, 86.7399, 8.8116, 66.5859, 8.8116, 7.6748, 88.3707
