******************************************************************
records on AgeDB dataset under five-fold cross-validation protocol
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_cross_entropy_loss, valid_kl_loss, valid_argmax_MAE, valid_accuracy
001, 17.4286, 60.8797, 17.4286, 10.8802, 87.4398, 16.0762, 58.4285, 16.0762, 10.2934, 88.8772
002, 15.1426, 57.9664, 15.1426, 9.7085, 89.3582, 14.6478, 55.6735, 14.6478, 9.3624, 89.8954
003, 14.3803, 56.8701, 14.3803, 9.2223, 89.8384, 12.3973, 52.4137, 12.3973, 7.8923, 91.3033
004, 14.0156, 56.3506, 14.0156, 8.9204, 90.1125, 12.2245, 52.8457, 12.2245, 7.6929, 91.2282
005, 13.5593, 55.6989, 13.5593, 8.6765, 90.3778, 12.0348, 53.1558, 12.0348, 7.7119, 91.6065
006, 13.3407, 55.3912, 13.3407, 8.5180, 90.5684, 11.8035, 52.8810, 11.8035, 7.6149, 91.7028
007, 13.0154, 54.9217, 13.0154, 8.2956, 90.7824, 12.2329, 54.0842, 12.2329, 7.9689, 91.2290
008, 12.7986, 54.6235, 12.7986, 8.1808, 90.9303, 12.1324, 53.0406, 12.1324, 7.9136, 91.5368
009, 12.6089, 54.3488, 12.6089, 8.0695, 91.0296, 12.4260, 54.1615, 12.4260, 7.7460, 91.1751
010, 12.3746, 54.0153, 12.3746, 7.8993, 91.1934, 10.7444, 51.4628, 10.7444, 6.8787, 92.3389
011, 12.1780, 53.7339, 12.1780, 7.8233, 91.2952, 11.5132, 52.3090, 11.5132, 7.6399, 91.7870
012, 12.2284, 53.8051, 12.2284, 7.7795, 91.3482, 11.3457, 52.6851, 11.3457, 7.4064, 91.8946
013, 11.9219, 53.3597, 11.9219, 7.5706, 91.5442, 11.1596, 52.0024, 11.1596, 7.3101, 92.0660
014, 11.7564, 53.1291, 11.7564, 7.5093, 91.6038, 10.6256, 50.9388, 10.6256, 6.8135, 92.5701
015, 11.6449, 52.9705, 11.6449, 7.4231, 91.7022, 10.9442, 51.3224, 10.9442, 7.0781, 92.1562
016, 11.6526, 52.9802, 11.6526, 7.4578, 91.6921, 10.8938, 51.2373, 10.8938, 7.0773, 92.4473
017, 11.4859, 52.7235, 11.4859, 7.2900, 91.8413, 10.9205, 51.8672, 10.9205, 7.0978, 92.1615
018, 11.4343, 52.6731, 11.4343, 7.2558, 91.9319, 10.3015, 51.4553, 10.3015, 6.6058, 92.6543
019, 11.3768, 52.5734, 11.3768, 7.2549, 91.8788, 10.4714, 51.4730, 10.4714, 6.7801, 92.2972
020, 11.1276, 52.2227, 11.1276, 7.1298, 92.0197, 10.3228, 51.5616, 10.3228, 6.5800, 92.7331
021, 11.0265, 52.0811, 11.0265, 7.0047, 92.1262, 10.8193, 51.4870, 10.8193, 6.9689, 92.4496
022, 10.8651, 51.8395, 10.8651, 6.8949, 92.2384, 10.2992, 51.1298, 10.2992, 6.6050, 92.7309
023, 10.8948, 51.8791, 10.8948, 6.9618, 92.1921, 11.7153, 52.7773, 11.7153, 7.6907, 91.7650
024, 10.6976, 51.6092, 10.6976, 6.7989, 92.3253, 10.7999, 52.0252, 10.7999, 6.8203, 92.2790
025, 10.6200, 51.4941, 10.6200, 6.7730, 92.3876, 10.0044, 50.7750, 10.0044, 6.3624, 92.8575
026, 10.7037, 51.6183, 10.7037, 6.8154, 92.3527, 10.2424, 50.4929, 10.2424, 6.5436, 92.6755
027, 10.4842, 51.2990, 10.4842, 6.6840, 92.4533, 10.7419, 51.8255, 10.7419, 7.0720, 92.1729
028, 10.4370, 51.2334, 10.4370, 6.6720, 92.4840, 9.9631, 50.1299, 9.9631, 6.4268, 92.9196
