******************************************************************
records on AgeDB dataset under five-fold cross-validation protocol
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_cross_entropy_loss, valid_kl_loss, valid_argmax_MAE, valid_accuracy
001, 23.8397, 37.5636, 23.8397, 11.0265, 88.2407, 22.2479, 35.2429, 22.2479, 10.6958, 89.0865
002, 20.4233, 34.1233, 20.4233, 9.5612, 89.9375, 19.8379, 33.1698, 19.8379, 9.5008, 90.2132
003, 19.5826, 33.1602, 19.5826, 9.1625, 90.3318, 17.3929, 31.1277, 17.3929, 7.9932, 91.4234
004, 19.0286, 32.5741, 19.0286, 8.8867, 90.6083, 18.2960, 31.3724, 18.2960, 8.5205, 91.1168
005, 18.6810, 32.1895, 18.6810, 8.7016, 90.7952, 16.3160, 29.3733, 16.3160, 7.3809, 92.0486
006, 18.2739, 31.7281, 18.2739, 8.5324, 90.9668, 15.7560, 28.7814, 15.7560, 7.1677, 92.3437
007, 17.8936, 31.3109, 17.8936, 8.2829, 91.2088, 15.1165, 28.1447, 15.1165, 6.9499, 92.5880
008, 17.6873, 31.0690, 17.6873, 8.1759, 91.3233, 15.3475, 28.7829, 15.3475, 6.9666, 92.5296
009, 17.5237, 30.8977, 17.5237, 8.0903, 91.4086, 15.2767, 28.0608, 15.2767, 7.0493, 92.5645
010, 17.0919, 30.4109, 17.0919, 7.9117, 91.5820, 16.4718, 28.9616, 16.4718, 7.6480, 91.9810
011, 17.1193, 30.4499, 17.1193, 7.9130, 91.5872, 14.9797, 27.9527, 14.9797, 6.8938, 92.6851
012, 16.7670, 30.0466, 16.7670, 7.7080, 91.7879, 14.6644, 27.6536, 14.6644, 6.7170, 92.8308
013, 16.7579, 30.0522, 16.7579, 7.7186, 91.7794, 15.0999, 28.1460, 15.0999, 7.0220, 92.5243
014, 16.4013, 29.6442, 16.4013, 7.5703, 91.9308, 14.3671, 26.8575, 14.3671, 6.6039, 92.8596
015, 16.1784, 29.3898, 16.1784, 7.4407, 92.0564, 14.7747, 27.6760, 14.7747, 6.9408, 92.6388
016, 15.8979, 29.0752, 15.8979, 7.3309, 92.1671, 14.8394, 27.8765, 14.8394, 6.7701, 92.7466
017, 16.0121, 29.2148, 16.0121, 7.4063, 92.0960, 14.5656, 27.4009, 14.5656, 6.6495, 92.8756
018, 15.8371, 29.0197, 15.8371, 7.3067, 92.1912, 14.1205, 27.0003, 14.1205, 6.5046, 93.0561
019, 15.7180, 28.8761, 15.7180, 7.2436, 92.2531, 15.1659, 28.1234, 15.1659, 6.8528, 92.4856
020, 15.5575, 28.7037, 15.5575, 7.1537, 92.3418, 13.9548, 26.8685, 13.9548, 6.3991, 93.0895
021, 15.5907, 28.7477, 15.5907, 7.1443, 92.3548, 14.2460, 27.1361, 14.2460, 6.4530, 92.9765
022, 15.3742, 28.4997, 15.3742, 7.0777, 92.4205, 14.2382, 27.5440, 14.2382, 6.4590, 93.1093
023, 15.2254, 28.3235, 15.2254, 7.0086, 92.4895, 14.9027, 27.7819, 14.9027, 6.7102, 92.8354
024, 15.0567, 28.1499, 15.0567, 6.8986, 92.6007, 14.8625, 27.2598, 14.8625, 6.9393, 92.6882
025, 14.9845, 28.0479, 14.9845, 6.8422, 92.6580, 14.2911, 27.3490, 14.2911, 6.5797, 92.9643
026, 14.8157, 27.8698, 14.8157, 6.8229, 92.6789, 14.1730, 27.2230, 14.1730, 6.4408, 92.9803
027, 14.8447, 27.9115, 14.8447, 6.8144, 92.6901, 14.2349, 26.9908, 14.2349, 6.5099, 93.0190
028, 14.8634, 27.9275, 14.8634, 6.8165, 92.6820, 15.9540, 28.9564, 15.9540, 7.3778, 92.3209
029, 14.6032, 27.6329, 14.6032, 6.6976, 92.7997, 13.8844, 26.4423, 13.8844, 6.2390, 93.2800
030, 14.4093, 27.4108, 14.4093, 6.6076, 92.8867, 14.1396, 27.0741, 14.1396, 6.3247, 93.1715
031, 13.5784, 26.4621, 13.5784, 6.2029, 93.2966, 13.3773, 26.2067, 13.3773, 6.0053, 93.5372
032, 13.0082, 25.8379, 13.0082, 5.9047, 93.5967, 13.1967, 26.1202, 13.1967, 5.8649, 93.6244
033, 12.9154, 25.7340, 12.9154, 5.8864, 93.6148, 13.1429, 25.7922, 13.1429, 5.8088, 93.6692
034, 12.7759, 25.5762, 12.7759, 5.7679, 93.7306, 13.2281, 26.0406, 13.2281, 5.9211, 93.6358
035, 12.5993, 25.3754, 12.5993, 5.7133, 93.7884, 13.2200, 26.0627, 13.2200, 5.8991, 93.6305
036, 12.5518, 25.3120, 12.5518, 5.7122, 93.7858, 13.2271, 26.0461, 13.2271, 5.8498, 93.6351
037, 12.5519, 25.3178, 12.5519, 5.6877, 93.8160, 13.3354, 26.0839, 13.3354, 5.8794, 93.6024
038, 12.5140, 25.2800, 12.5140, 5.6573, 93.8447, 13.2784, 25.8346, 13.2784, 5.8634, 93.6237
039, 12.2867, 25.0269, 12.2867, 5.5880, 93.9132, 13.4094, 26.1652, 13.4094, 5.8938, 93.5857
040, 12.4010, 25.1467, 12.4010, 5.6309, 93.8725, 13.4851, 26.1095, 13.4851, 5.9605, 93.5197
041, 12.3029, 25.0398, 12.3029, 5.5692, 93.9355, 13.4361, 26.2597, 13.4361, 5.8816, 93.6206
042, 12.2806, 25.0179, 12.2806, 5.5585, 93.9473, 13.3010, 25.8174, 13.3010, 5.8035, 93.6844
043, 12.0566, 24.7518, 12.0566, 5.4533, 94.0496, 13.3291, 26.0530, 13.3291, 5.8634, 93.6244
044, 12.2222, 24.9635, 12.2222, 5.5319, 93.9698, 13.4034, 26.1800, 13.4034, 5.8414, 93.6047
045, 12.0022, 24.6801, 12.0022, 5.4040, 94.0961, 13.4803, 26.3225, 13.4803, 5.9196, 93.6146
046, 12.1546, 24.8784, 12.1546, 5.4789, 94.0190, 13.2973, 25.9732, 13.2973, 5.7883, 93.6988
047, 12.1309, 24.8458, 12.1309, 5.4936, 94.0075, 13.3638, 25.9520, 13.3638, 5.8483, 93.6161
048, 12.0798, 24.7895, 12.0798, 5.4353, 94.0645, 13.4101, 26.0978, 13.4101, 5.8080, 93.6677
049, 11.9088, 24.5845, 11.9088, 5.3724, 94.1311, 13.3671, 26.1893, 13.3671, 5.8202, 93.6798
050, 11.7779, 24.4276, 11.7779, 5.2985, 94.2077, 13.5050, 26.3595, 13.5050, 5.8437, 93.6464
051, 11.7213, 24.4132, 11.7213, 5.2421, 94.2460, 13.4600, 26.3148, 13.4600, 5.8786, 93.6464
052, 11.8177, 24.4857, 11.8177, 5.3332, 94.1634, 13.4150, 25.9535, 13.4150, 5.8316, 93.6821
053, 11.7905, 24.4599, 11.7905, 5.3029, 94.1919, 13.4084, 26.0758, 13.4084, 5.8202, 93.6897
054, 11.7680, 24.4432, 11.7680, 5.2855, 94.2108, 13.4280, 26.0780, 13.4280, 5.8596, 93.6624
055, 11.7494, 24.4171, 11.7494, 5.2858, 94.2069, 13.3096, 25.8459, 13.3096, 5.7951, 93.7049
056, 11.6965, 24.3370, 11.6965, 5.2634, 94.2365, 13.3829, 26.0946, 13.3829, 5.8058, 93.6950
057, 11.6387, 24.2834, 11.6387, 5.2543, 94.2519, 13.3876, 26.1441, 13.3876, 5.8354, 93.6775
058, 11.7229, 24.3881, 11.7229, 5.2793, 94.2209, 13.5323, 26.3032, 13.5323, 5.8801, 93.6373
059, 11.7406, 24.3890, 11.7406, 5.2719, 94.2229, 13.4271, 26.3515, 13.4271, 5.8399, 93.6753
060, 11.5415, 24.1722, 11.5415, 5.2020, 94.2966, 13.3749, 25.9582, 13.3749, 5.8255, 93.6700
061, 11.7063, 24.3431, 11.7063, 5.2438, 94.2560, 13.5020, 26.3210, 13.5020, 5.8361, 93.6791
062, 11.7401, 24.4124, 11.7401, 5.2918, 94.2110, 13.3802, 26.0371, 13.3802, 5.8118, 93.6829
063, 11.4234, 24.0260, 11.4234, 5.1411, 94.3600, 13.3766, 26.0812, 13.3766, 5.8111, 93.6737
064, 11.4947, 24.1056, 11.4947, 5.1680, 94.3312, 13.3572, 25.9952, 13.3572, 5.8217, 93.6844
065, 11.4546, 24.0680, 11.4546, 5.1414, 94.3588, 13.3846, 26.0021, 13.3846, 5.8202, 93.6715
test_total_loss, test_cross_entropy_loss, test_kl_loss, test_argmax_MAE, test_accuracy:
13.3590, 26.0606, 13.3590, 5.7448, 93.7306
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.188, 0.298, 0.405, 0.496, 0.586, 0.656, 0.725, 0.775, 0.815, 0.849

test_total_loss, test_cross_entropy_loss, test_kl_loss, test_argmax_MAE, test_accuracy:
13.2549, 25.8090, 13.2549, 5.7482, 93.7400
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.184, 0.300, 0.405, 0.498, 0.590, 0.669, 0.724, 0.778, 0.814, 0.851

