******************************************************************
records on AgeDB dataset under five-fold cross-validation protocol
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_cross_entropy_loss, valid_kl_loss, valid_argmax_MAE, valid_accuracy
001, 14.9979, 75.9117, 14.9979, 11.6231, 78.6493, 14.6128, 75.4320, 14.6128, 13.6823, 82.3601
002, 12.7736, 72.6351, 12.7736, 10.4489, 82.7160, 11.2940, 69.4800, 11.2940, 10.6641, 84.4193
003, 12.1138, 71.5322, 12.1138, 10.0420, 83.5392, 10.7437, 68.0416, 10.7437, 9.3844, 86.8143
004, 11.6490, 70.7694, 11.6490, 9.6739, 84.0724, 11.8322, 70.4586, 11.8322, 10.7824, 85.7604
005, 11.5712, 70.6393, 11.5712, 9.6130, 84.2763, 10.0771, 68.5442, 10.0771, 8.8484, 85.3450
006, 11.3182, 70.2158, 11.3182, 9.4111, 84.5545, 9.6743, 67.7586, 9.6743, 8.4299, 86.5049
007, 10.9350, 69.5713, 10.9350, 9.0877, 85.0220, 9.2224, 67.1696, 9.2224, 8.2729, 86.5656
008, 10.7632, 69.3010, 10.7632, 8.9794, 85.2557, 9.4148, 67.8356, 9.4148, 8.9538, 86.9500
009, 10.6815, 69.1682, 10.6815, 8.8725, 85.4185, 9.3824, 67.1190, 9.3824, 7.2434, 87.2745
010, 10.5181, 68.9024, 10.5181, 8.7205, 85.6660, 9.6475, 67.0475, 9.6475, 8.7301, 87.7210
011, 10.2842, 68.5050, 10.2842, 8.5355, 85.9278, 9.0187, 66.4324, 9.0187, 8.4837, 87.6088
012, 10.2626, 68.4580, 10.2626, 8.5692, 85.9826, 9.1550, 67.2769, 9.1550, 8.5125, 87.2168
013, 10.1204, 68.2382, 10.1204, 8.4294, 86.1709, 8.8504, 65.9576, 8.8504, 7.5519, 87.7536
014, 9.9995, 68.0267, 9.9995, 8.4075, 86.3147, 8.5905, 65.5639, 8.5905, 6.5292, 89.1069
015, 9.8950, 67.8554, 9.8950, 8.2799, 86.5026, 8.8512, 65.7558, 8.8512, 8.0235, 88.6839
016, 9.7362, 67.5871, 9.7362, 8.1841, 86.6468, 8.3596, 65.1843, 8.3596, 7.4526, 88.9689
017, 9.6288, 67.4012, 9.6288, 8.0892, 86.7964, 8.6192, 65.6296, 8.6192, 6.8514, 88.9128
018, 9.5531, 67.2889, 9.5531, 8.0388, 86.8997, 8.6040, 65.3604, 8.6040, 7.7036, 88.7930
019, 9.5724, 67.3112, 9.5724, 8.1308, 86.8432, 8.8550, 66.3525, 8.8550, 8.1873, 87.6922
020, 9.4789, 67.1553, 9.4789, 7.9137, 87.0569, 8.5577, 65.6998, 8.5577, 6.7756, 89.4064
021, 9.2708, 66.8121, 9.2708, 7.8755, 87.2025, 8.3754, 64.9582, 8.3754, 6.9735, 89.3124
022, 9.2124, 66.7285, 9.2124, 7.7577, 87.3747, 8.4163, 65.7733, 8.4163, 7.4905, 88.5982
023, 9.1582, 66.6191, 9.1582, 7.7337, 87.4356, 8.3591, 64.5116, 8.3591, 7.1281, 89.3328
024, 9.0346, 66.4214, 9.0346, 7.6664, 87.5393, 8.4110, 65.7862, 8.4110, 7.1433, 87.9879
025, 9.0772, 66.4942, 9.0772, 7.6633, 87.5283, 8.6043, 65.5122, 8.6043, 7.4435, 89.0743
026, 8.9091, 66.2106, 8.9091, 7.5863, 87.7102, 9.7177, 67.0503, 9.7177, 8.5997, 88.4943
027, 8.8979, 66.2056, 8.8979, 7.5568, 87.7219, 8.5095, 64.7222, 8.5095, 7.2312, 89.2873
028, 8.7973, 66.0130, 8.7973, 7.5059, 87.8301, 8.7428, 65.8301, 8.7428, 6.7081, 88.2904
029, 8.7293, 65.9137, 8.7293, 7.4280, 87.8507, 8.6204, 64.8035, 8.6204, 7.2191, 89.6376
030, 8.7313, 65.9083, 8.7313, 7.4307, 87.9059, 8.4864, 65.6524, 8.4864, 6.2509, 88.7536
031, 8.1118, 64.8818, 8.1118, 6.8915, 88.5496, 7.9948, 64.1128, 7.9948, 6.6808, 89.9280
032, 7.8850, 64.5262, 7.8850, 6.8398, 88.7342, 7.9099, 64.2907, 7.9099, 6.5451, 89.9325
033, 7.7164, 64.2102, 7.7164, 6.6515, 88.9813, 7.8996, 64.2476, 7.8996, 6.7392, 89.8453
034, 7.5984, 64.0125, 7.5984, 6.5500, 89.0977, 7.8238, 64.5939, 7.8238, 6.3260, 89.8704
035, 7.6558, 64.1328, 7.6558, 6.6111, 89.0624, 7.8231, 63.9627, 7.8231, 6.4647, 90.1357
036, 7.6145, 64.0512, 7.6145, 6.5561, 89.1761, 7.8110, 64.2666, 7.8110, 6.4511, 90.1554
037, 7.5048, 63.8661, 7.5048, 6.5280, 89.2472, 7.7805, 64.1432, 7.7805, 6.1827, 90.1418
038, 7.4970, 63.8328, 7.4970, 6.4644, 89.3058, 7.8602, 64.9094, 7.8602, 6.6406, 89.8105
039, 7.3659, 63.6437, 7.3659, 6.3934, 89.3772, 7.7979, 63.8379, 7.7979, 6.2138, 90.2957
040, 7.4657, 63.8023, 7.4657, 6.4434, 89.3236, 7.8668, 64.7451, 7.8668, 6.4867, 89.8719
041, 7.3915, 63.6702, 7.3915, 6.4064, 89.3868, 7.7449, 64.1775, 7.7449, 6.2297, 90.2328
042, 7.3740, 63.6359, 7.3740, 6.3487, 89.4681, 7.8309, 64.3803, 7.8309, 6.5019, 89.9613
043, 7.2896, 63.5188, 7.2896, 6.3655, 89.4362, 7.9389, 64.6848, 7.9389, 6.5618, 89.9992
044, 7.2929, 63.4994, 7.2929, 6.3642, 89.4506, 7.9494, 64.4218, 7.9494, 6.5383, 90.0849
