******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_l1_loss, train_cross_entropy_loss, train_kl_loss, train_exp_MAE, valid_loss, valid_l1_loss, valid_cross_entropy_loss, valid_kl_loss, valid_exp_MAE
052, 6.4783, 5.5422, 3.3653, 0.9361, 5.542, 6.8152, 5.8168, 3.4267, 0.9983, 5.817
053, 6.4289, 5.4979, 3.3596, 0.9310, 5.498, 6.8625, 5.8625, 3.4306, 1.0001, 5.862
054, 6.4607, 5.5230, 3.3660, 0.9377, 5.523, 6.8375, 5.8386, 3.4284, 0.9989, 5.839
055, 6.4159, 5.4826, 3.3617, 0.9333, 5.483, 6.8680, 5.8676, 3.4323, 1.0005, 5.868
056, 6.5673, 5.6251, 3.3723, 0.9422, 5.625, 6.8260, 5.8292, 3.4279, 0.9968, 5.829
057, 6.4521, 5.5173, 3.3624, 0.9349, 5.517, 6.8275, 5.8302, 3.4285, 0.9973, 5.830
058, 6.4782, 5.5432, 3.3634, 0.9350, 5.543, 6.8253, 5.8272, 3.4274, 0.9981, 5.827
059, 6.3970, 5.4683, 3.3566, 0.9287, 5.468, 6.8344, 5.8317, 3.4329, 1.0027, 5.832
060, 6.3731, 5.4501, 3.3500, 0.9230, 5.450, 6.8315, 5.8356, 3.4264, 0.9958, 5.836
061, 6.4007, 5.4722, 3.3568, 0.9285, 5.472, 6.8166, 5.8218, 3.4269, 0.9948, 5.822
062, 6.3742, 5.4506, 3.3514, 0.9236, 5.451, 6.8188, 5.8225, 3.4266, 0.9963, 5.823
063, 6.3472, 5.4265, 3.3479, 0.9207, 5.427, 6.8268, 5.8280, 3.4285, 0.9988, 5.828
064, 6.3773, 5.4508, 3.3537, 0.9265, 5.451, 6.8258, 5.8287, 3.4288, 0.9971, 5.829
065, 6.4231, 5.4934, 3.3568, 0.9297, 5.493, 6.8347, 5.8392, 3.4258, 0.9955, 5.839
test_loss, test_l1_loss, test_cross_entropy_loss, test_kl_loss, test_exp_MAE:
6.8961, 5.8936, 3.4258, 1.0024, 5.894
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.108, 0.218, 0.332, 0.431, 0.520, 0.611, 0.687, 0.748, 0.793, 0.833

