******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_l1_loss, train_cross_entropy_loss, train_kl_loss, train_exp_MAE, valid_loss, valid_l1_loss, valid_cross_entropy_loss, valid_kl_loss, valid_exp_MAE
001, 12.3012, 10.6723, 4.1158, 1.6288, 10.672, 11.2375, 9.6971, 4.0217, 1.5403, 9.697
002, 10.8346, 9.3975, 3.9136, 1.4371, 9.397, 13.0549, 11.3019, 4.2205, 1.7530, 11.302
003, 10.3738, 8.9876, 3.8566, 1.3862, 8.988, 9.0751, 7.8214, 3.7199, 1.2537, 7.821
004, 10.0619, 8.7076, 3.8274, 1.3543, 8.708, 9.1307, 7.8308, 3.7618, 1.2999, 7.831
005, 9.9155, 8.5774, 3.8058, 1.3380, 8.577, 8.6707, 7.4563, 3.6754, 1.2144, 7.456
006, 9.5931, 8.2902, 3.7692, 1.3029, 8.290, 8.4148, 7.1997, 3.6767, 1.2151, 7.200
007, 9.5205, 8.2304, 3.7552, 1.2902, 8.230, 8.6388, 7.4097, 3.6932, 1.2291, 7.410
008, 9.3539, 8.0764, 3.7391, 1.2775, 8.076, 8.0575, 6.8669, 3.6426, 1.1906, 6.867
009, 9.1929, 7.9388, 3.7146, 1.2541, 7.939, 8.2622, 7.0884, 3.6312, 1.1738, 7.088
010, 9.1501, 7.9035, 3.7061, 1.2466, 7.903, 8.1275, 6.9653, 3.6193, 1.1622, 6.965
011, 9.0605, 7.8214, 3.6986, 1.2391, 7.821, 8.0363, 6.8860, 3.6051, 1.1503, 6.886
012, 8.9974, 7.7659, 3.6900, 1.2316, 7.766, 8.6282, 7.4181, 3.6589, 1.2101, 7.418
013, 8.8749, 7.6545, 3.6771, 1.2204, 7.655, 8.3059, 7.1493, 3.6082, 1.1566, 7.149
014, 8.7910, 7.5777, 3.6683, 1.2133, 7.578, 7.7481, 6.6583, 3.5414, 1.0898, 6.658
015, 8.6266, 7.4334, 3.6476, 1.1932, 7.433, 8.0701, 6.9276, 3.6007, 1.1425, 6.928
016, 8.6101, 7.4253, 3.6375, 1.1848, 7.425, 7.7045, 6.5991, 3.5523, 1.1055, 6.599
017, 8.4827, 7.3071, 3.6280, 1.1755, 7.307, 8.0559, 6.9110, 3.5951, 1.1450, 6.911
018, 8.5422, 7.3544, 3.6396, 1.1877, 7.354, 8.2371, 7.0647, 3.6238, 1.1724, 7.065
019, 8.4667, 7.2921, 3.6251, 1.1746, 7.292, 7.7627, 6.6550, 3.5612, 1.1077, 6.655
020, 8.3867, 7.2217, 3.6145, 1.1650, 7.222, 7.9130, 6.7794, 3.5717, 1.1337, 6.779
021, 8.3056, 7.1512, 3.6027, 1.1544, 7.151, 8.2299, 7.0516, 3.6203, 1.1783, 7.052
022, 8.2736, 7.1213, 3.6004, 1.1523, 7.121, 7.7356, 6.6151, 3.5631, 1.1205, 6.615
023, 8.2323, 7.0864, 3.5932, 1.1458, 7.086, 7.5571, 6.4709, 3.5300, 1.0862, 6.471
024, 8.0746, 6.9429, 3.5768, 1.1317, 6.943, 7.6180, 6.5226, 3.5314, 1.0954, 6.523
025, 8.1324, 6.9948, 3.5836, 1.1376, 6.995, 7.6318, 6.5389, 3.5335, 1.0930, 6.539
026, 8.1107, 6.9808, 3.5740, 1.1299, 6.981, 7.6553, 6.5622, 3.5256, 1.0931, 6.562
027, 7.9641, 6.8483, 3.5609, 1.1159, 6.848, 7.6787, 6.5624, 3.5656, 1.1163, 6.562
028, 7.9565, 6.8395, 3.5593, 1.1170, 6.840, 7.8155, 6.6943, 3.5581, 1.1212, 6.694
029, 7.9198, 6.8049, 3.5577, 1.1149, 6.805, 7.5834, 6.4894, 3.5294, 1.0941, 6.489
030, 7.9262, 6.8182, 3.5500, 1.1080, 6.818, 7.5387, 6.4650, 3.5139, 1.0737, 6.465
031, 7.3379, 6.3011, 3.4766, 1.0369, 6.301, 7.2392, 6.2145, 3.4574, 1.0247, 6.215
032, 7.2055, 6.1845, 3.4609, 1.0210, 6.184, 7.0728, 6.0694, 3.4369, 1.0034, 6.069
033, 7.1127, 6.0993, 3.4519, 1.0133, 6.099, 7.0470, 6.0413, 3.4378, 1.0056, 6.041
034, 7.0620, 6.0574, 3.4429, 1.0047, 6.057, 7.0963, 6.0848, 3.4403, 1.0115, 6.085
035, 7.0035, 6.0029, 3.4388, 1.0007, 6.003, 7.0372, 6.0354, 3.4324, 1.0018, 6.035
036, 6.9961, 6.0001, 3.4321, 0.9959, 6.000, 7.0230, 6.0204, 3.4340, 1.0026, 6.020
037, 6.8815, 5.8922, 3.4245, 0.9893, 5.892, 7.0332, 6.0323, 3.4316, 1.0008, 6.032
038, 6.9089, 5.9219, 3.4219, 0.9871, 5.922, 7.0487, 6.0446, 3.4355, 1.0041, 6.045
039, 6.7502, 5.7737, 3.4118, 0.9764, 5.774, 6.9882, 5.9905, 3.4254, 0.9977, 5.990
040, 6.8962, 5.9089, 3.4218, 0.9873, 5.909, 7.0041, 6.0036, 3.4297, 1.0005, 6.004
041, 6.7157, 5.7498, 3.3982, 0.9659, 5.750, 6.9518, 5.9580, 3.4227, 0.9938, 5.958
042, 6.7111, 5.7451, 3.3995, 0.9660, 5.745, 6.9905, 5.9949, 3.4239, 0.9956, 5.995
043, 6.6706, 5.7105, 3.3919, 0.9602, 5.710, 6.9717, 5.9731, 3.4258, 0.9986, 5.973
044, 6.7464, 5.7801, 3.3986, 0.9664, 5.780, 7.0099, 6.0107, 3.4279, 0.9992, 6.011
045, 6.6832, 5.7237, 3.3905, 0.9595, 5.724, 6.9534, 5.9625, 3.4191, 0.9909, 5.962
046, 6.6065, 5.6499, 3.3866, 0.9566, 5.650, 7.0142, 6.0099, 3.4343, 1.0042, 6.010
047, 6.6260, 5.6656, 3.3906, 0.9604, 5.666, 6.9642, 5.9675, 3.4229, 0.9967, 5.968
048, 6.6234, 5.6697, 3.3836, 0.9536, 5.670, 6.9359, 5.9428, 3.4195, 0.9931, 5.943
049, 6.5525, 5.6047, 3.3766, 0.9478, 5.605, 7.0407, 6.0335, 3.4336, 1.0072, 6.034
050, 6.6238, 5.6735, 3.3792, 0.9504, 5.673, 7.0433, 6.0327, 3.4367, 1.0106, 6.033
051, 6.5382, 5.5950, 3.3716, 0.9431, 5.595, 6.9470, 5.9527, 3.4212, 0.9943, 5.953
052, 6.5077, 5.5695, 3.3663, 0.9382, 5.570, 6.9288, 5.9375, 3.4179, 0.9913, 5.938
053, 6.4585, 5.5234, 3.3629, 0.9351, 5.523, 6.9400, 5.9476, 3.4209, 0.9924, 5.948
054, 6.4021, 5.4725, 3.3571, 0.9295, 5.473, 6.9384, 5.9452, 3.4197, 0.9933, 5.945
055, 6.4197, 5.4892, 3.3579, 0.9305, 5.489, 6.9736, 5.9765, 3.4263, 0.9972, 5.976
056, 6.5182, 5.5796, 3.3666, 0.9386, 5.580, 6.9364, 5.9434, 3.4203, 0.9929, 5.943
057, 6.5133, 5.5703, 3.3713, 0.9429, 5.570, 6.9440, 5.9478, 3.4212, 0.9963, 5.948
058, 6.4599, 5.5232, 3.3650, 0.9367, 5.523, 6.9500, 5.9536, 3.4216, 0.9964, 5.954
059, 6.3500, 5.4247, 3.3525, 0.9253, 5.425, 6.9235, 5.9293, 3.4200, 0.9943, 5.929
060, 6.4090, 5.4760, 3.3608, 0.9331, 5.476, 6.9638, 5.9668, 3.4249, 0.9970, 5.967
061, 6.4366, 5.5039, 3.3594, 0.9326, 5.504, 6.9233, 5.9307, 3.4193, 0.9927, 5.931
062, 6.4615, 5.5260, 3.3630, 0.9356, 5.526, 6.9259, 5.9335, 3.4197, 0.9925, 5.933
063, 6.3874, 5.4604, 3.3550, 0.9270, 5.460, 6.9206, 5.9290, 3.4189, 0.9916, 5.929
064, 6.4242, 5.4924, 3.3591, 0.9318, 5.492, 6.9371, 5.9421, 3.4221, 0.9951, 5.942
065, 6.4470, 5.5159, 3.3578, 0.9311, 5.516, 6.9218, 5.9293, 3.4176, 0.9925, 5.929
test_loss, test_l1_loss, test_cross_entropy_loss, test_kl_loss, test_exp_MAE:
7.0769, 6.0530, 3.4497, 1.0238, 6.053
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.122, 0.231, 0.339, 0.438, 0.519, 0.593, 0.659, 0.719, 0.774, 0.817

