******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_l1_loss, train_cross_entropy_loss, train_kl_loss, train_exp_MAE, valid_loss, valid_l1_loss, valid_cross_entropy_loss, valid_kl_loss, valid_exp_MAE
001, 12.4173, 10.7772, 4.1342, 1.6401, 10.777, 11.0879, 9.5667, 3.9930, 1.5212, 9.567
002, 11.0474, 9.5896, 3.9367, 1.4578, 9.590, 9.9268, 8.5463, 3.8613, 1.3804, 8.546
003, 10.4529, 9.0590, 3.8709, 1.3940, 9.059, 9.5387, 8.2153, 3.7897, 1.3235, 8.215
004, 10.1850, 8.8200, 3.8382, 1.3651, 8.820, 9.1848, 7.9025, 3.7488, 1.2824, 7.902
005, 9.9227, 8.5898, 3.8027, 1.3329, 8.590, 9.1620, 7.9099, 3.7207, 1.2521, 7.910
006, 9.7498, 8.4348, 3.7845, 1.3150, 8.435, 8.8551, 7.5873, 3.7320, 1.2678, 7.587
007, 9.5583, 8.2636, 3.7603, 1.2947, 8.264, 9.3722, 8.0311, 3.7988, 1.3411, 8.031
008, 9.4148, 8.1310, 3.7473, 1.2838, 8.131, 8.6927, 7.4527, 3.6975, 1.2400, 7.453
009, 9.2575, 7.9960, 3.7249, 1.2615, 7.996, 8.4557, 7.2756, 3.6374, 1.1801, 7.276
010, 9.1725, 7.9227, 3.7122, 1.2498, 7.923, 8.6042, 7.3901, 3.6741, 1.2141, 7.390
011, 9.0310, 7.7986, 3.6931, 1.2323, 7.799, 8.3155, 7.1294, 3.6541, 1.1861, 7.129
012, 9.1021, 7.8592, 3.7020, 1.2429, 7.859, 8.9951, 7.7265, 3.7209, 1.2685, 7.727
013, 8.8838, 7.6620, 3.6814, 1.2218, 7.662, 7.8752, 6.7607, 3.5710, 1.1144, 6.761
014, 8.8103, 7.5924, 3.6746, 1.2179, 7.592, 7.9886, 6.8616, 3.5792, 1.1269, 6.862
015, 8.7094, 7.5078, 3.6572, 1.2016, 7.508, 8.5371, 7.3412, 3.6516, 1.1959, 7.341
016, 8.6749, 7.4799, 3.6511, 1.1951, 7.480, 8.0828, 6.9263, 3.6027, 1.1565, 6.926
017, 8.6134, 7.4270, 3.6397, 1.1864, 7.427, 8.6501, 7.4526, 3.6479, 1.1975, 7.453
018, 8.5317, 7.3455, 3.6399, 1.1862, 7.345, 7.7415, 6.6424, 3.5478, 1.0992, 6.642
019, 8.5194, 7.3416, 3.6302, 1.1778, 7.342, 8.5598, 7.3521, 3.6587, 1.2077, 7.352
020, 8.3868, 7.2238, 3.6152, 1.1630, 7.224, 8.4842, 7.2896, 3.6461, 1.1945, 7.290
021, 8.3598, 7.1986, 3.6120, 1.1612, 7.199, 7.7916, 6.6632, 3.5776, 1.1284, 6.663
022, 8.2009, 7.0601, 3.5897, 1.1408, 7.060, 7.6590, 6.5857, 3.5152, 1.0734, 6.586
023, 8.2164, 7.0689, 3.5954, 1.1475, 7.069, 7.7523, 6.6424, 3.5552, 1.1099, 6.642
024, 8.1714, 7.0280, 3.5893, 1.1435, 7.028, 7.7175, 6.6141, 3.5433, 1.1034, 6.614
025, 8.1985, 7.0596, 3.5856, 1.1389, 7.060, 7.8788, 6.7606, 3.5630, 1.1182, 6.761
026, 8.1945, 7.0552, 3.5850, 1.1393, 7.055, 7.5473, 6.4718, 3.5174, 1.0755, 6.472
027, 8.0750, 6.9456, 3.5750, 1.1293, 6.946, 7.9993, 6.8462, 3.5996, 1.1532, 6.846
028, 7.9647, 6.8519, 3.5573, 1.1127, 6.852, 7.6833, 6.5910, 3.5351, 1.0924, 6.591
029, 7.9834, 6.8655, 3.5617, 1.1178, 6.866, 7.7532, 6.6355, 3.5466, 1.1177, 6.635
030, 7.8555, 6.7581, 3.5401, 1.0974, 6.758, 7.4017, 6.3405, 3.4939, 1.0612, 6.340
031, 7.3790, 6.3344, 3.4852, 1.0446, 6.334, 7.1235, 6.1047, 3.4501, 1.0188, 6.105
032, 7.1880, 6.1688, 3.4581, 1.0192, 6.169, 7.0415, 6.0332, 3.4426, 1.0083, 6.033
033, 7.2079, 6.1881, 3.4588, 1.0198, 6.188, 6.9705, 5.9721, 3.4297, 0.9983, 5.972
034, 7.0239, 6.0237, 3.4394, 1.0002, 6.024, 6.9452, 5.9494, 3.4276, 0.9957, 5.949
035, 6.9889, 5.9928, 3.4336, 0.9961, 5.993, 6.9556, 5.9566, 3.4305, 0.9990, 5.957
036, 7.0485, 6.0456, 3.4407, 1.0029, 6.046, 6.9646, 5.9664, 3.4302, 0.9983, 5.966
037, 6.9146, 5.9268, 3.4252, 0.9878, 5.927, 6.9709, 5.9715, 3.4328, 0.9995, 5.971
038, 6.9315, 5.9428, 3.4255, 0.9887, 5.943, 7.0046, 6.0030, 3.4360, 1.0016, 6.003
039, 6.7761, 5.7989, 3.4137, 0.9772, 5.799, 6.9633, 5.9599, 3.4314, 1.0034, 5.960
040, 6.9799, 5.9879, 3.4280, 0.9919, 5.988, 6.9274, 5.9341, 3.4242, 0.9933, 5.934
041, 6.7998, 5.8237, 3.4119, 0.9761, 5.824, 6.9689, 5.9692, 3.4339, 0.9997, 5.969
042, 6.7846, 5.8123, 3.4062, 0.9723, 5.812, 6.9115, 5.9191, 3.4225, 0.9924, 5.919
043, 6.7182, 5.7514, 3.4007, 0.9668, 5.751, 6.9000, 5.9085, 3.4213, 0.9915, 5.909
044, 6.8519, 5.8753, 3.4118, 0.9766, 5.875, 6.9306, 5.9322, 3.4301, 0.9984, 5.932
045, 6.7545, 5.7882, 3.4000, 0.9663, 5.788, 6.9282, 5.9302, 3.4282, 0.9980, 5.930
046, 6.6539, 5.6943, 3.3916, 0.9596, 5.694, 6.9479, 5.9522, 3.4269, 0.9957, 5.952
047, 6.6722, 5.7088, 3.3973, 0.9634, 5.709, 6.9606, 5.9539, 3.4383, 1.0067, 5.954
048, 6.7057, 5.7466, 3.3915, 0.9591, 5.747, 7.0484, 6.0360, 3.4425, 1.0124, 6.036
049, 6.5955, 5.6448, 3.3815, 0.9507, 5.645, 6.9933, 5.9886, 3.4332, 1.0047, 5.989
050, 6.6518, 5.6936, 3.3887, 0.9582, 5.694, 7.0657, 6.0482, 3.4428, 1.0175, 6.048
051, 6.6133, 5.6617, 3.3814, 0.9516, 5.662, 6.9676, 5.9673, 3.4279, 1.0003, 5.967
052, 6.4985, 5.5620, 3.3664, 0.9365, 5.562, 6.9528, 5.9531, 3.4277, 0.9997, 5.953
053, 6.5088, 5.5698, 3.3688, 0.9391, 5.570, 6.9453, 5.9484, 3.4264, 0.9969, 5.948
054, 6.4265, 5.4968, 3.3587, 0.9297, 5.497, 6.9594, 5.9584, 3.4297, 1.0010, 5.958
055, 6.4875, 5.5518, 3.3661, 0.9357, 5.552, 6.9561, 5.9555, 3.4295, 1.0006, 5.956
056, 6.5288, 5.5901, 3.3686, 0.9387, 5.590, 6.9403, 5.9419, 3.4263, 0.9984, 5.942
057, 6.5214, 5.5825, 3.3668, 0.9389, 5.582, 6.9224, 5.9265, 3.4226, 0.9958, 5.927
058, 6.4787, 5.5446, 3.3629, 0.9341, 5.545, 6.9189, 5.9217, 3.4245, 0.9972, 5.922
059, 6.4570, 5.5244, 3.3626, 0.9326, 5.524, 6.9275, 5.9310, 3.4248, 0.9965, 5.931
060, 6.4765, 5.5434, 3.3627, 0.9331, 5.543, 6.9372, 5.9401, 3.4263, 0.9971, 5.940
061, 6.4604, 5.5261, 3.3628, 0.9343, 5.526, 6.9395, 5.9424, 3.4258, 0.9970, 5.942
062, 6.5186, 5.5810, 3.3675, 0.9376, 5.581, 6.9355, 5.9394, 3.4248, 0.9961, 5.939
063, 6.3391, 5.4188, 3.3494, 0.9203, 5.419, 6.9261, 5.9302, 3.4241, 0.9959, 5.930
064, 6.4371, 5.5012, 3.3664, 0.9359, 5.501, 6.9237, 5.9272, 3.4243, 0.9965, 5.927
065, 6.4275, 5.4978, 3.3589, 0.9297, 5.498, 6.9221, 5.9268, 3.4234, 0.9952, 5.927
test_loss, test_l1_loss, test_cross_entropy_loss, test_kl_loss, test_exp_MAE:
6.9691, 5.9552, 3.4391, 1.0139, 5.955
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.128, 0.232, 0.331, 0.430, 0.506, 0.591, 0.666, 0.724, 0.779, 0.824

