******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_l1_loss, train_cross_entropy_loss, train_kl_loss, train_exp_MAE, valid_loss, valid_l1_loss, valid_cross_entropy_loss, valid_kl_loss, valid_exp_MAE
001, 12.4195, 10.7812, 4.1247, 1.6383, 10.781, 10.4486, 8.9762, 3.9441, 1.4725, 8.976
002, 10.8391, 9.4003, 3.9174, 1.4388, 9.400, 9.3538, 8.0320, 3.7976, 1.3217, 8.032
003, 10.3917, 9.0003, 3.8665, 1.3915, 9.000, 9.3163, 7.9920, 3.7923, 1.3243, 7.992
004, 10.1861, 8.8177, 3.8395, 1.3684, 8.818, 10.4315, 9.0282, 3.8703, 1.4033, 9.028
005, 9.9350, 8.5927, 3.8120, 1.3424, 8.593, 9.0885, 7.8174, 3.7361, 1.2711, 7.817
006, 9.7534, 8.4338, 3.7874, 1.3195, 8.434, 8.4085, 7.2190, 3.6579, 1.1895, 7.219
007, 9.4957, 8.2035, 3.7586, 1.2922, 8.203, 8.4514, 7.2384, 3.6828, 1.2129, 7.238
008, 9.4394, 8.1556, 3.7464, 1.2838, 8.156, 8.2632, 7.0858, 3.6311, 1.1774, 7.086
009, 9.2877, 8.0188, 3.7324, 1.2689, 8.019, 8.4655, 7.2622, 3.6638, 1.2033, 7.262
010, 9.0922, 7.8447, 3.7073, 1.2475, 7.845, 8.0684, 6.9083, 3.6093, 1.1601, 6.908
011, 9.1153, 7.8651, 3.7107, 1.2503, 7.865, 7.9269, 6.7935, 3.5835, 1.1335, 6.793
012, 8.9152, 7.6792, 3.6940, 1.2361, 7.679, 8.2781, 7.0927, 3.6242, 1.1854, 7.093
013, 8.9524, 7.7202, 3.6908, 1.2323, 7.720, 8.2452, 7.0510, 3.6518, 1.1942, 7.051
014, 8.8570, 7.6394, 3.6745, 1.2176, 7.639, 7.9547, 6.7865, 3.6118, 1.1682, 6.786
015, 8.6193, 7.4240, 3.6516, 1.1953, 7.424, 7.6701, 6.5699, 3.5490, 1.1002, 6.570
016, 8.6291, 7.4309, 3.6513, 1.1983, 7.431, 7.9414, 6.8167, 3.5796, 1.1247, 6.817
017, 8.6266, 7.4361, 3.6445, 1.1906, 7.436, 7.7859, 6.6767, 3.5556, 1.1093, 6.677
018, 8.5457, 7.3660, 3.6316, 1.1797, 7.366, 7.7532, 6.6373, 3.5667, 1.1159, 6.637
019, 8.4818, 7.3060, 3.6274, 1.1757, 7.306, 7.9314, 6.7928, 3.5834, 1.1386, 6.793
020, 8.3876, 7.2204, 3.6180, 1.1672, 7.220, 8.0610, 6.9098, 3.5960, 1.1512, 6.910
021, 8.3869, 7.2142, 3.6227, 1.1728, 7.214, 7.4188, 6.3389, 3.5178, 1.0799, 6.339
022, 8.3534, 7.1912, 3.6103, 1.1621, 7.191, 8.0908, 6.9511, 3.5845, 1.1397, 6.951
023, 8.2015, 7.0505, 3.6018, 1.1511, 7.050, 7.5397, 6.4597, 3.5133, 1.0800, 6.460
024, 8.1992, 7.0485, 3.5979, 1.1507, 7.048, 7.7912, 6.6763, 3.5580, 1.1149, 6.676
025, 8.0985, 6.9600, 3.5856, 1.1385, 6.960, 7.6873, 6.5827, 3.5479, 1.1046, 6.583
026, 8.1238, 6.9867, 3.5829, 1.1371, 6.987, 7.9258, 6.7843, 3.5787, 1.1415, 6.784
027, 8.1408, 7.0090, 3.5769, 1.1318, 7.009, 7.6951, 6.5840, 3.5503, 1.1111, 6.584
028, 8.0597, 6.9306, 3.5758, 1.1291, 6.931, 8.1351, 6.9608, 3.6142, 1.1743, 6.961
029, 7.9127, 6.8029, 3.5542, 1.1097, 6.803, 7.5042, 6.4110, 3.5223, 1.0933, 6.411
030, 7.9344, 6.8203, 3.5567, 1.1140, 6.820, 7.3291, 6.2467, 3.5059, 1.0824, 6.247
031, 7.4610, 6.4076, 3.4928, 1.0534, 6.408, 7.1604, 6.1213, 3.4684, 1.0391, 6.121
032, 7.1850, 6.1654, 3.4573, 1.0196, 6.165, 7.0242, 6.0051, 3.4480, 1.0190, 6.005
033, 7.1790, 6.1620, 3.4560, 1.0171, 6.162, 6.9700, 5.9591, 3.4384, 1.0109, 5.959
034, 7.0613, 6.0582, 3.4401, 1.0030, 6.058, 7.0776, 6.0465, 3.4592, 1.0311, 6.047
035, 6.9684, 5.9725, 3.4339, 0.9959, 5.973, 7.0227, 6.0009, 3.4527, 1.0218, 6.001
036, 6.9881, 5.9950, 3.4295, 0.9931, 5.995, 6.9327, 5.9231, 3.4364, 1.0096, 5.923
037, 6.9630, 5.9741, 3.4249, 0.9889, 5.974, 6.9445, 5.9338, 3.4412, 1.0106, 5.934
038, 6.8624, 5.8760, 3.4227, 0.9864, 5.876, 6.9582, 5.9486, 3.4360, 1.0096, 5.949
039, 6.8561, 5.8782, 3.4147, 0.9780, 5.878, 6.9775, 5.9641, 3.4418, 1.0134, 5.964
040, 6.8472, 5.8638, 3.4197, 0.9834, 5.864, 7.0673, 6.0403, 3.4565, 1.0270, 6.040
041, 6.8096, 5.8333, 3.4116, 0.9763, 5.833, 7.0016, 5.9864, 3.4425, 1.0152, 5.986
042, 6.8490, 5.8708, 3.4140, 0.9782, 5.871, 6.9293, 5.9204, 3.4365, 1.0090, 5.920
043, 6.7488, 5.7823, 3.4012, 0.9665, 5.782, 6.9478, 5.9347, 3.4422, 1.0131, 5.935
044, 6.7807, 5.8051, 3.4099, 0.9756, 5.805, 6.9424, 5.9304, 3.4382, 1.0120, 5.930
045, 6.6704, 5.7068, 3.3974, 0.9636, 5.707, 6.9304, 5.9220, 3.4372, 1.0084, 5.922
046, 6.6805, 5.7142, 3.3991, 0.9664, 5.714, 6.8765, 5.8709, 3.4309, 1.0056, 5.871
047, 6.6890, 5.7263, 3.3946, 0.9627, 5.726, 6.8729, 5.8682, 3.4312, 1.0047, 5.868
048, 6.6769, 5.7161, 3.3932, 0.9608, 5.716, 6.8611, 5.8571, 3.4305, 1.0041, 5.857
049, 6.6061, 5.6513, 3.3868, 0.9548, 5.651, 6.8921, 5.8879, 3.4305, 1.0043, 5.888
050, 6.5385, 5.5909, 3.3783, 0.9477, 5.591, 6.8804, 5.8723, 3.4328, 1.0081, 5.872
051, 6.4980, 5.5552, 3.3737, 0.9428, 5.555, 6.9057, 5.8946, 3.4355, 1.0110, 5.895
052, 6.5811, 5.6285, 3.3832, 0.9526, 5.629, 6.8755, 5.8703, 3.4293, 1.0052, 5.870
053, 6.5543, 5.6032, 3.3810, 0.9512, 5.603, 6.8505, 5.8499, 3.4269, 1.0006, 5.850
054, 6.4722, 5.5298, 3.3746, 0.9423, 5.530, 6.8658, 5.8620, 3.4296, 1.0039, 5.862
055, 6.4702, 5.5317, 3.3687, 0.9384, 5.532, 6.8538, 5.8511, 3.4290, 1.0027, 5.851
056, 6.5328, 5.5860, 3.3778, 0.9468, 5.586, 6.8737, 5.8694, 3.4293, 1.0043, 5.869
057, 6.5054, 5.5637, 3.3726, 0.9417, 5.564, 6.8838, 5.8780, 3.4309, 1.0058, 5.878
058, 6.5520, 5.6070, 3.3745, 0.9450, 5.607, 6.8707, 5.8642, 3.4315, 1.0065, 5.864
059, 6.4991, 5.5578, 3.3712, 0.9413, 5.558, 6.8803, 5.8749, 3.4310, 1.0055, 5.875
060, 6.4027, 5.4691, 3.3637, 0.9336, 5.469, 6.8637, 5.8628, 3.4276, 1.0009, 5.863
061, 6.4608, 5.5209, 3.3712, 0.9399, 5.521, 6.8697, 5.8635, 3.4309, 1.0062, 5.863
062, 6.5174, 5.5758, 3.3715, 0.9416, 5.576, 6.8611, 5.8561, 3.4283, 1.0050, 5.856
063, 6.3748, 5.4442, 3.3594, 0.9306, 5.444, 6.8592, 5.8565, 3.4296, 1.0027, 5.856
064, 6.4277, 5.4931, 3.3654, 0.9346, 5.493, 6.8548, 5.8534, 3.4280, 1.0014, 5.853
065, 6.3968, 5.4689, 3.3570, 0.9279, 5.469, 6.8624, 5.8586, 3.4279, 1.0038, 5.859
test_loss, test_l1_loss, test_cross_entropy_loss, test_kl_loss, test_exp_MAE:
6.7838, 5.7860, 3.4205, 0.9978, 5.786
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.130, 0.240, 0.340, 0.448, 0.539, 0.618, 0.694, 0.744, 0.790, 0.832

