******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_l1_loss, train_cross_entropy_loss, train_kl_loss, train_exp_MAE, valid_loss, valid_l1_loss, valid_cross_entropy_loss, valid_kl_loss, valid_exp_MAE
001, 12.4618, 10.8257, 4.1322, 1.6362, 10.826, 11.3431, 9.8142, 4.0156, 1.5289, 9.814
002, 10.9570, 9.5071, 3.9319, 1.4499, 9.507, 11.4977, 9.9383, 4.0305, 1.5594, 9.938
003, 10.4200, 9.0291, 3.8653, 1.3909, 9.029, 9.2339, 7.9365, 3.7566, 1.2974, 7.937
004, 10.0378, 8.6879, 3.8228, 1.3499, 8.688, 10.0025, 8.6376, 3.8306, 1.3649, 8.638
005, 9.9513, 8.6126, 3.8102, 1.3387, 8.613, 9.0377, 7.7476, 3.7534, 1.2901, 7.748
006, 9.7534, 8.4361, 3.7866, 1.3173, 8.436, 9.1269, 7.8499, 3.7401, 1.2770, 7.850
007, 9.5084, 8.2144, 3.7571, 1.2940, 8.214, 8.3787, 7.1939, 3.6448, 1.1848, 7.194
008, 9.3947, 8.1196, 3.7382, 1.2751, 8.120, 8.2578, 7.0692, 3.6373, 1.1887, 7.069
009, 9.2066, 7.9434, 3.7217, 1.2632, 7.943, 8.1103, 6.9680, 3.5899, 1.1424, 6.968
010, 9.2034, 7.9460, 3.7174, 1.2574, 7.946, 7.9529, 6.8154, 3.5954, 1.1375, 6.815
011, 9.0523, 7.8072, 3.7063, 1.2451, 7.807, 7.9552, 6.8138, 3.5953, 1.1415, 6.814
012, 9.0098, 7.7806, 3.6884, 1.2292, 7.781, 9.2230, 7.9336, 3.7421, 1.2895, 7.934
013, 8.8987, 7.6753, 3.6817, 1.2234, 7.675, 7.9804, 6.8473, 3.5890, 1.1331, 6.847
014, 8.8402, 7.6169, 3.6823, 1.2233, 7.617, 7.6405, 6.5472, 3.5423, 1.0933, 6.547
015, 8.6614, 7.4643, 3.6529, 1.1971, 7.464, 8.3380, 7.1667, 3.6283, 1.1713, 7.167
016, 8.6420, 7.4470, 3.6497, 1.1950, 7.447, 8.0040, 6.8365, 3.6074, 1.1674, 6.837
017, 8.5353, 7.3485, 3.6400, 1.1867, 7.349, 8.3742, 7.1911, 3.6314, 1.1831, 7.191
