******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_l1_loss, train_cross_entropy_loss, train_kl_loss, train_exp_MAE, valid_loss, valid_l1_loss, valid_cross_entropy_loss, valid_kl_loss, valid_exp_MAE
018, 8.4875, 7.3122, 3.6265, 1.1753, 7.312, 7.8108, 6.7019, 3.5543, 1.1089, 6.702
019, 8.4947, 7.3187, 3.6259, 1.1760, 7.319, 7.9260, 6.7702, 3.6025, 1.1558, 6.770
020, 8.3732, 7.2060, 3.6177, 1.1671, 7.206, 7.9048, 6.7763, 3.5736, 1.1285, 6.776
021, 8.2495, 7.0965, 3.6030, 1.1531, 7.096, 7.8738, 6.7335, 3.5903, 1.1402, 6.734
022, 8.2551, 7.1049, 3.5979, 1.1502, 7.105, 7.8930, 6.7568, 3.5787, 1.1362, 6.757
023, 8.2374, 7.0900, 3.5955, 1.1474, 7.090, 7.7074, 6.6037, 3.5419, 1.1037, 6.604
024, 8.0740, 6.9395, 3.5801, 1.1344, 6.940, 7.6585, 6.5560, 3.5356, 1.1026, 6.556
025, 8.1484, 7.0118, 3.5816, 1.1366, 7.012, 7.5734, 6.4831, 3.5331, 1.0903, 6.483
026, 8.0636, 6.9371, 3.5734, 1.1265, 6.937, 7.7553, 6.6008, 3.5854, 1.1546, 6.601
027, 7.9418, 6.8238, 3.5621, 1.1181, 6.824, 7.6412, 6.4992, 3.5889, 1.1420, 6.499
028, 7.9487, 6.8383, 3.5528, 1.1104, 6.838, 8.3840, 7.1900, 3.6430, 1.1939, 7.190
029, 7.9103, 6.7951, 3.5562, 1.1152, 6.795, 7.4586, 6.3715, 3.5257, 1.0870, 6.372
030, 7.9222, 6.8129, 3.5497, 1.1093, 6.813, 7.3610, 6.2918, 3.5026, 1.0692, 6.292
031, 7.3557, 6.3162, 3.4802, 1.0394, 6.316, 7.1340, 6.1105, 3.4568, 1.0235, 6.111
032, 7.2482, 6.2253, 3.4625, 1.0230, 6.225, 7.1270, 6.1073, 3.4525, 1.0197, 6.107
033, 7.1127, 6.1058, 3.4453, 1.0069, 6.106, 7.0979, 6.0800, 3.4498, 1.0179, 6.080
034, 6.9535, 5.9621, 3.4293, 0.9915, 5.962, 7.0144, 6.0083, 3.4366, 1.0062, 6.008
035, 7.0028, 6.0069, 3.4325, 0.9958, 6.007, 7.0514, 6.0389, 3.4401, 1.0125, 6.039
036, 6.9922, 5.9974, 3.4306, 0.9948, 5.997, 6.9910, 5.9834, 3.4373, 1.0075, 5.983
037, 6.8186, 5.8390, 3.4140, 0.9796, 5.839, 6.9794, 5.9751, 3.4348, 1.0043, 5.975
038, 6.8295, 5.8503, 3.4127, 0.9792, 5.850, 6.9664, 5.9612, 3.4356, 1.0052, 5.961
039, 6.8276, 5.8524, 3.4100, 0.9751, 5.852, 6.9619, 5.9572, 3.4334, 1.0047, 5.957
040, 6.8659, 5.8853, 3.4145, 0.9806, 5.885, 6.9641, 5.9577, 3.4352, 1.0064, 5.958
041, 6.7759, 5.8033, 3.4052, 0.9726, 5.803, 6.9694, 5.9649, 3.4334, 1.0045, 5.965
042, 6.7268, 5.7669, 3.3923, 0.9599, 5.767, 6.8991, 5.9010, 3.4233, 0.9980, 5.901
043, 6.7246, 5.7623, 3.3933, 0.9623, 5.762, 6.9471, 5.9361, 3.4363, 1.0111, 5.936
044, 6.7054, 5.7433, 3.3936, 0.9621, 5.743, 6.9762, 5.9674, 3.4364, 1.0088, 5.967
045, 6.6766, 5.7169, 3.3911, 0.9597, 5.717, 6.9365, 5.9258, 3.4392, 1.0107, 5.926
046, 6.5541, 5.6102, 3.3745, 0.9439, 5.610, 6.9431, 5.9317, 3.4396, 1.0114, 5.932
047, 6.6397, 5.6819, 3.3869, 0.9578, 5.682, 6.9061, 5.9072, 3.4268, 0.9989, 5.907
048, 6.5362, 5.5972, 3.3675, 0.9390, 5.597, 6.8665, 5.8679, 3.4243, 0.9986, 5.868
049, 6.5299, 5.5861, 3.3720, 0.9438, 5.586, 6.9540, 5.9300, 3.4478, 1.0240, 5.930
050, 6.5723, 5.6245, 3.3775, 0.9477, 5.625, 6.9104, 5.9106, 3.4234, 0.9998, 5.911
051, 6.4799, 5.5442, 3.3631, 0.9356, 5.544, 6.8572, 5.8641, 3.4178, 0.9931, 5.864
052, 6.4820, 5.5459, 3.3636, 0.9361, 5.546, 6.8505, 5.8583, 3.4160, 0.9923, 5.858
053, 6.4035, 5.4756, 3.3545, 0.9279, 5.476, 6.8495, 5.8547, 3.4210, 0.9948, 5.855
054, 6.3669, 5.4398, 3.3534, 0.9270, 5.440, 6.8270, 5.8363, 3.4156, 0.9907, 5.836
055, 6.3870, 5.4605, 3.3547, 0.9264, 5.461, 6.8479, 5.8549, 3.4182, 0.9930, 5.855
056, 6.5059, 5.5691, 3.3644, 0.9368, 5.569, 6.8154, 5.8233, 3.4159, 0.9921, 5.823
057, 6.4336, 5.5056, 3.3558, 0.9281, 5.506, 6.8337, 5.8397, 3.4161, 0.9940, 5.840
058, 6.4499, 5.5191, 3.3573, 0.9307, 5.519, 6.8472, 5.8508, 3.4190, 0.9963, 5.851
059, 6.3147, 5.3944, 3.3472, 0.9202, 5.394, 6.8521, 5.8566, 3.4193, 0.9954, 5.857
060, 6.4362, 5.5027, 3.3613, 0.9335, 5.503, 6.8549, 5.8566, 3.4229, 0.9983, 5.857
061, 6.3942, 5.4693, 3.3512, 0.9249, 5.469, 6.8434, 5.8456, 3.4221, 0.9978, 5.846
062, 6.4175, 5.4917, 3.3520, 0.9258, 5.492, 6.8498, 5.8549, 3.4203, 0.9949, 5.855
063, 6.3541, 5.4325, 3.3475, 0.9216, 5.432, 6.8436, 5.8479, 3.4209, 0.9957, 5.848
064, 6.4247, 5.4926, 3.3580, 0.9321, 5.493, 6.8470, 5.8484, 3.4219, 0.9986, 5.848
065, 6.3548, 5.4326, 3.3483, 0.9222, 5.433, 6.8462, 5.8505, 3.4196, 0.9957, 5.850
test_loss, test_l1_loss, test_cross_entropy_loss, test_kl_loss, test_exp_MAE:
6.8205, 5.8215, 3.4227, 0.9991, 5.821
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.123, 0.249, 0.355, 0.449, 0.539, 0.618, 0.687, 0.748, 0.793, 0.830

