******************************************************************
records on FG_NET dataset under leave one person out protocol

******************************************************************


******************************************************************
train and test on ID: 1
******************************************************************
epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy
028, 4.7862, 28.5736, 4.7862, 2.3884, 97.0158
029, 4.7453, 28.5616, 4.7453, 2.4331, 96.9922
030, 4.6428, 28.3790, 4.6428, 2.3702, 97.0168
031, 4.2040, 27.8913, 4.2040, 2.1217, 97.3241
032, 4.0501, 27.6379, 4.0501, 1.9939, 97.4276
033, 4.0728, 27.6865, 4.0728, 2.0304, 97.4225
034, 3.8961, 27.5219, 3.8961, 1.9554, 97.4860
035, 3.7339, 27.2618, 3.7339, 1.8083, 97.6468
036, 3.7401, 27.3073, 3.7401, 1.8489, 97.6305
037, 3.5034, 27.0327, 3.5034, 1.7252, 97.6960
038, 3.7216, 27.2289, 3.7216, 1.8560, 97.6079
039, 3.6044, 27.1603, 3.6044, 1.8205, 97.6243
040, 3.5503, 27.0466, 3.5503, 1.7718, 97.6827
041, 3.5646, 27.0286, 3.5646, 1.7850, 97.6407
042, 3.5849, 27.1167, 3.5849, 1.7008, 97.7421
043, 3.3826, 26.9048, 3.3826, 1.6217, 97.8220
044, 3.4311, 26.7663, 3.4311, 1.6724, 97.7350
045, 3.7933, 27.3255, 3.7933, 1.8671, 97.5434
046, 3.7619, 27.3639, 3.7619, 1.8753, 97.5413
047, 3.2038, 26.6087, 3.2038, 1.5974, 97.8610
048, 3.4432, 26.8892, 3.4432, 1.6836, 97.7565
049, 3.3813, 26.8460, 3.3813, 1.6146, 97.8364
050, 3.2653, 26.6773, 3.2653, 1.6105, 97.8681
051, 3.4124, 26.7209, 3.4124, 1.7110, 97.6929
052, 3.4266, 26.8149, 3.4266, 1.6846, 97.7565
053, 3.1434, 26.5300, 3.1434, 1.5213, 97.9245
054, 3.1647, 26.5040, 3.1647, 1.5467, 97.9265
055, 3.4409, 26.9513, 3.4409, 1.6795, 97.7790
056, 3.1790, 26.5491, 3.1790, 1.5558, 97.8712
057, 3.4540, 26.8367, 3.4540, 1.6978, 97.7524
058, 3.2789, 26.6490, 3.2789, 1.5761, 97.8845
059, 3.3336, 26.8281, 3.3336, 1.5720, 97.8999
060, 3.3031, 26.6660, 3.3031, 1.6339, 97.7944
061, 3.2618, 26.6817, 3.2618, 1.5548, 97.9173
062, 3.4405, 26.8789, 3.4405, 1.6440, 97.8005
063, 3.6379, 27.1611, 3.6379, 1.8164, 97.6448
064, 3.4567, 26.9741, 3.4567, 1.6836, 97.7606
065, 3.1667, 26.3920, 3.1667, 1.5112, 97.9777
test_total_loss, test_cross_entropy_loss, test_kl_loss, test_argmax_MAE, test_accuracy:
14.3404, 40.1725, 14.3404, 5.1875, 93.6869

******************************************************************
train and test on ID: 3
******************************************************************
epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy
001, 20.3458, 46.5168, 20.3458, 10.4131, 88.3849
002, 11.7877, 37.2884, 11.7877, 6.1232, 93.3088
003, 10.6575, 36.0747, 10.6575, 5.4333, 93.9659
004, 9.5305, 34.5012, 9.5305, 4.8081, 94.6016
005, 8.6493, 33.5159, 8.6493, 4.3798, 95.0444
006, 8.3079, 33.1469, 8.3079, 4.2828, 95.1423
007, 8.6737, 33.5621, 8.6737, 4.5525, 94.8750
008, 7.6645, 32.2260, 7.6645, 3.8929, 95.5535
009, 7.8937, 32.5590, 7.8937, 4.1061, 95.3250
010, 7.1883, 31.6803, 7.1883, 3.7434, 95.7178
011, 6.9805, 31.4314, 6.9805, 3.6545, 95.7576
012, 6.8631, 31.2124, 6.8631, 3.5717, 95.8198
013, 6.8407, 31.2189, 6.8407, 3.4768, 95.9178
014, 6.6538, 31.0485, 6.6538, 3.4141, 96.0086
015, 6.3726, 30.6631, 6.3726, 3.2828, 96.1167
016, 6.0639, 30.2693, 6.0639, 3.0747, 96.3514
017, 5.7041, 29.7515, 5.7041, 2.9545, 96.4555
018, 5.4125, 29.3586, 5.4125, 2.8263, 96.5687
019, 5.6997, 29.8179, 5.6997, 2.8889, 96.5320
020, 5.9932, 30.1649, 5.9932, 3.0424, 96.3565
021, 5.5971, 29.6529, 5.5971, 2.9081, 96.4942
022, 5.3333, 29.2794, 5.3333, 2.7545, 96.6310
023, 5.0694, 28.9728, 5.0694, 2.5455, 96.8350
024, 5.1280, 29.0507, 5.1280, 2.6556, 96.7728
025, 5.3629, 29.3028, 5.3629, 2.6980, 96.6952
026, 5.0744, 28.9900, 5.0744, 2.6010, 96.7993
027, 4.9120, 28.7588, 4.9120, 2.4727, 96.9768
028, 4.7501, 28.5822, 4.7501, 2.4424, 96.9870
029, 5.1944, 29.0907, 5.1944, 2.6293, 96.7687
030, 5.0076, 28.7692, 5.0076, 2.5061, 96.9003
031, 4.4066, 28.2207, 4.4066, 2.2040, 97.2237
032, 4.2871, 28.0562, 4.2871, 2.1091, 97.3339
033, 3.9583, 27.6713, 3.9583, 1.9949, 97.4676
034, 3.8054, 27.2435, 3.8054, 1.8667, 97.5707
035, 3.8879, 27.5467, 3.8879, 1.9768, 97.4696
036, 4.0329, 27.7818, 4.0329, 2.0980, 97.3686
037, 3.9485, 27.4115, 3.9485, 2.0091, 97.4554
038, 3.6507, 27.1015, 3.6507, 1.8020, 97.6196
039, 3.7325, 27.3206, 3.7325, 1.8091, 97.6135
040, 3.5659, 27.1706, 3.5659, 1.7444, 97.7278
041, 3.6142, 27.0445, 3.6142, 1.7212, 97.7278
042, 3.5352, 27.1159, 3.5352, 1.7051, 97.7472
043, 3.3743, 26.6862, 3.3743, 1.6303, 97.7941
044, 3.5828, 27.1012, 3.5828, 1.7717, 97.6513
045, 3.3703, 26.7750, 3.3703, 1.6606, 97.7819
046, 3.4634, 27.0733, 3.4634, 1.7283, 97.7359
047, 3.3958, 26.8492, 3.3958, 1.6636, 97.7625
048, 3.4118, 26.8459, 3.4118, 1.7293, 97.7431
049, 3.2491, 26.6410, 3.2491, 1.5303, 97.9237
050, 3.4047, 26.8748, 3.4047, 1.6929, 97.7665
051, 3.2983, 26.6639, 3.2983, 1.6202, 97.8135
052, 3.4468, 26.9243, 3.4468, 1.6798, 97.7594
053, 3.2215, 26.6316, 3.2215, 1.5424, 97.9002
054, 3.4781, 26.9891, 3.4781, 1.6646, 97.7563
055, 3.0716, 26.2986, 3.0716, 1.4687, 98.0043
056, 3.3075, 26.7617, 3.3075, 1.5222, 97.9176
057, 3.5469, 27.1347, 3.5469, 1.7970, 97.6370
058, 3.3160, 26.6931, 3.3160, 1.6283, 97.8216
059, 3.3178, 26.7761, 3.3178, 1.6202, 97.8298
060, 3.3722, 26.8125, 3.3722, 1.6010, 97.8635
061, 3.1973, 26.5121, 3.1973, 1.5808, 97.8880
062, 3.1608, 26.5433, 3.1608, 1.4960, 97.9655
063, 3.1847, 26.4821, 3.1847, 1.5121, 97.9737
064, 3.1453, 26.5094, 3.1453, 1.5606, 97.8890
065, 3.2083, 26.6438, 3.2083, 1.4828, 97.9492
test_total_loss, test_cross_entropy_loss, test_kl_loss, test_argmax_MAE, test_accuracy:
32.4774, 63.5210, 32.4774, 11.3333, 87.6263

******************************************************************
train and test on ID: 4
******************************************************************
epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy
001, 20.3059, 46.5839, 20.3059, 10.1949, 88.4400
002, 12.7563, 38.5348, 12.7563, 6.6263, 92.7589
003, 10.8329, 36.2736, 10.8329, 5.7051, 93.7670
004, 9.6637, 34.7400, 9.6637, 4.9798, 94.4404
005, 9.0838, 34.0440, 9.0838, 4.7384, 94.7046
006, 8.9260, 33.9094, 8.9260, 4.6424, 94.7913
007, 7.8551, 32.4193, 7.8551, 4.0010, 95.4566
008, 7.2709, 31.9023, 7.2709, 3.8505, 95.6015
009, 7.2654, 31.7239, 7.2654, 3.7101, 95.6943
010, 7.1359, 31.6345, 7.1359, 3.7263, 95.7239
011, 7.1787, 31.6610, 7.1787, 3.7737, 95.6576
012, 7.0627, 31.5475, 7.0627, 3.6838, 95.7474
013, 6.2856, 30.4576, 6.2856, 3.3212, 96.0933
014, 6.4810, 30.7939, 6.4810, 3.3919, 96.0208
015, 6.2759, 30.4794, 6.2759, 3.2475, 96.1892
016, 5.9997, 30.1210, 5.9997, 2.9949, 96.3953
017, 5.6786, 29.7555, 5.6786, 3.0040, 96.4126
018, 5.7597, 29.8735, 5.7597, 3.0354, 96.3616
019, 5.7759, 29.9102, 5.7759, 2.9030, 96.5014
020, 5.6943, 29.7126, 5.6943, 2.9515, 96.4555
021, 5.0207, 28.9383, 5.0207, 2.5384, 96.8748
022, 5.2090, 29.0849, 5.2090, 2.6465, 96.7687
023, 5.1210, 29.0707, 5.1210, 2.6293, 96.7381
024, 5.5212, 29.4915, 5.5212, 2.7909, 96.6177
025, 5.0795, 28.9759, 5.0795, 2.5576, 96.8585
026, 5.0758, 28.9888, 5.0758, 2.6404, 96.7483
027, 4.5983, 28.2891, 4.5983, 2.3283, 97.0768
028, 4.6643, 28.4986, 4.6643, 2.3798, 97.0370
029, 4.8772, 28.7312, 4.8772, 2.4657, 96.9472
030, 4.6022, 28.3085, 4.6022, 2.3172, 97.1105
031, 4.1692, 27.9246, 4.1692, 2.1717, 97.2564
032, 3.9589, 27.5959, 3.9589, 1.9980, 97.4605
033, 3.9384, 27.5686, 3.9384, 1.9354, 97.4900
034, 3.9034, 27.4857, 3.9034, 1.9434, 97.4890
035, 3.8549, 27.4077, 3.8549, 1.9424, 97.5176
