******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_MAE, valid_loss, valid_MAE
001, 12.0342, 12.0342, 10.2114, 10.2114
002, 9.8408, 9.8408, 8.9855, 8.9855
003, 9.2693, 9.2693, 8.2483, 8.2483
004, 9.0776, 9.0776, 8.3183, 8.3183
005, 8.7622, 8.7622, 7.5869, 7.5869
006, 8.5544, 8.5544, 7.8736, 7.8736
007, 8.5072, 8.5072, 7.3394, 7.3394
008, 8.3871, 8.3871, 7.7565, 7.7565
009, 8.1660, 8.1660, 7.8681, 7.8681
010, 8.2294, 8.2294, 7.4870, 7.4870
011, 8.0589, 8.0589, 7.4457, 7.4457
012, 8.0856, 8.0856, 7.9924, 7.9924
013, 7.9830, 7.9830, 7.2555, 7.2555
014, 7.7922, 7.7922, 7.5601, 7.5601
015, 7.8442, 7.8442, 7.1746, 7.1746
016, 7.8460, 7.8460, 7.0930, 7.0930
017, 7.7033, 7.7033, 6.9292, 6.9292
018, 7.6660, 7.6660, 6.9893, 6.9893
019, 7.5900, 7.5900, 7.1303, 7.1303
020, 7.5454, 7.5454, 6.8711, 6.8711
021, 7.4475, 7.4475, 7.2262, 7.2262
022, 7.5133, 7.5133, 6.8113, 6.8113
023, 7.3717, 7.3717, 6.4427, 6.4427
024, 7.3591, 7.3591, 6.8786, 6.8786
025, 7.3903, 7.3903, 6.2721, 6.2721
026, 7.3700, 7.3700, 6.7313, 6.7313
027, 7.2729, 7.2729, 6.5865, 6.5865
028, 7.2899, 7.2899, 6.6821, 6.6821
029, 7.1733, 7.1733, 7.0659, 7.0659
030, 7.1337, 7.1337, 6.4305, 6.4305
031, 6.7117, 6.7117, 6.1379, 6.1379
032, 6.6303, 6.6303, 6.0988, 6.0988
033, 6.6056, 6.6056, 6.1000, 6.1000
034, 6.4311, 6.4311, 6.0818, 6.0818
035, 6.3583, 6.3583, 6.0850, 6.0850
036, 6.4177, 6.4177, 6.0990, 6.0990
037, 6.3157, 6.3157, 6.1069, 6.1069
038, 6.3737, 6.3737, 6.0668, 6.0668
039, 6.2321, 6.2321, 6.0924, 6.0924
040, 6.3407, 6.3407, 6.0401, 6.0401
041, 6.3682, 6.3682, 6.0482, 6.0482
042, 6.2146, 6.2146, 6.0170, 6.0170
043, 6.2320, 6.2320, 6.0838, 6.0838
044, 6.2610, 6.2610, 6.0326, 6.0326
045, 6.3377, 6.3377, 6.0056, 6.0056
046, 6.2471, 6.2471, 6.0010, 6.0010
047, 6.1479, 6.1479, 5.9916, 5.9916
048, 6.1901, 6.1901, 6.0365, 6.0365
049, 6.1428, 6.1428, 6.0207, 6.0207
050, 6.0918, 6.0918, 6.0262, 6.0262
051, 6.1358, 6.1358, 5.9927, 5.9927
052, 5.9793, 5.9793, 5.9680, 5.9680
053, 5.9575, 5.9575, 6.0101, 6.0101
054, 6.0732, 6.0732, 6.0048, 6.0048
055, 6.0238, 6.0238, 6.0534, 6.0534
056, 6.0645, 6.0645, 5.9463, 5.9463
057, 5.9985, 5.9985, 5.9547, 5.9547
058, 6.0022, 6.0022, 5.9717, 5.9717
059, 5.9518, 5.9518, 5.9440, 5.9440
060, 5.9415, 5.9415, 5.9657, 5.9657
061, 6.0305, 6.0305, 5.9583, 5.9583
062, 5.9745, 5.9745, 5.9586, 5.9586
063, 5.9457, 5.9457, 5.9540, 5.9540
064, 5.9505, 5.9505, 5.9661, 5.9661
065, 5.9324, 5.9324, 5.9811, 5.9811
test_loss, test_MAE:
5.9433, 5.9433
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.115, 0.225, 0.333, 0.426, 0.521, 0.607, 0.679, 0.736, 0.791, 0.827

