******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_MAE, valid_loss, valid_MAE
001, 12.1005, 12.1005, 10.4333, 10.4333
002, 9.8204, 9.8204, 9.1971, 9.1971
003, 9.3108, 9.3108, 8.1653, 8.1653
004, 8.9750, 8.9750, 8.0332, 8.0332
005, 8.8783, 8.8783, 7.9536, 7.9536
006, 8.7012, 8.7012, 7.4465, 7.4465
007, 8.4794, 8.4794, 7.2492, 7.2492
008, 8.4353, 8.4353, 7.8899, 7.8899
009, 8.3221, 8.3221, 6.9607, 6.9607
010, 8.2415, 8.2415, 7.1847, 7.1847
011, 8.0924, 8.0924, 7.1415, 7.1415
012, 7.9984, 7.9984, 7.9130, 7.9130
013, 7.9836, 7.9836, 6.8919, 6.8919
014, 7.9161, 7.9161, 6.6848, 6.6848
015, 7.8587, 7.8587, 6.9285, 6.9285
016, 7.7522, 7.7522, 6.5260, 6.5260
017, 7.6916, 7.6916, 6.9091, 6.9091
018, 7.6867, 7.6867, 6.6705, 6.6705
019, 7.7167, 7.7167, 8.5778, 8.5778
020, 7.7249, 7.7249, 6.5901, 6.5901
021, 7.5062, 7.5062, 6.7908, 6.7908
022, 7.4188, 7.4188, 6.7567, 6.7567
023, 7.4491, 7.4491, 6.5490, 6.5490
024, 7.3257, 7.3257, 6.7520, 6.7520
025, 7.4457, 7.4457, 7.0048, 7.0048
026, 7.3387, 7.3387, 6.7740, 6.7740
027, 7.2504, 7.2504, 6.6140, 6.6140
028, 7.2177, 7.2177, 7.3928, 7.3928
029, 7.2462, 7.2462, 6.8950, 6.8950
030, 7.1993, 7.1993, 6.5357, 6.5357
031, 6.8025, 6.8025, 6.2464, 6.2464
032, 6.6570, 6.6570, 6.1687, 6.1687
033, 6.5816, 6.5816, 6.1637, 6.1637
034, 6.4628, 6.4628, 6.0750, 6.0750
035, 6.5244, 6.5244, 6.1003, 6.1003
036, 6.4843, 6.4843, 6.0544, 6.0544
037, 6.4053, 6.4053, 6.1165, 6.1165
038, 6.3500, 6.3500, 6.0610, 6.0610
039, 6.3168, 6.3168, 6.1043, 6.1043
040, 6.2997, 6.2997, 6.1000, 6.1000
041, 6.3659, 6.3659, 6.0681, 6.0681
042, 6.2931, 6.2931, 6.0892, 6.0892
043, 6.3220, 6.3220, 6.0738, 6.0738
044, 6.2617, 6.2617, 6.0627, 6.0627
045, 6.2403, 6.2403, 6.1308, 6.1308
046, 6.2240, 6.2240, 6.0059, 6.0059
047, 6.2704, 6.2704, 6.0013, 6.0013
048, 6.1512, 6.1512, 6.0866, 6.0866
049, 6.0907, 6.0907, 6.1607, 6.1607
050, 6.1667, 6.1667, 6.0189, 6.0189
051, 6.0755, 6.0755, 5.9918, 5.9918
052, 6.1262, 6.1262, 5.9749, 5.9749
053, 6.0293, 6.0293, 5.9850, 5.9850
054, 6.0446, 6.0446, 5.9680, 5.9680
055, 6.0431, 6.0431, 5.9718, 5.9718
056, 6.0797, 6.0797, 5.9902, 5.9902
057, 6.0601, 6.0601, 6.0002, 6.0002
058, 6.0901, 6.0901, 6.0478, 6.0478
059, 6.0140, 6.0140, 6.0565, 6.0565
060, 6.0301, 6.0301, 6.0162, 6.0162
061, 6.0812, 6.0812, 6.0786, 6.0786
062, 6.0038, 6.0038, 5.9658, 5.9658
063, 5.9783, 5.9783, 5.9548, 5.9548
064, 6.0434, 6.0434, 6.0512, 6.0512
065, 6.0680, 6.0680, 6.0124, 6.0124
test_loss, test_MAE:
5.9698, 5.9698
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.111, 0.225, 0.330, 0.427, 0.524, 0.609, 0.679, 0.737, 0.781, 0.829

