******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_MAE, valid_loss, valid_MAE
001, 12.0708, 12.0708, 9.5142, 9.5142
002, 9.5942, 9.5942, 9.2542, 9.2542
003, 9.1863, 9.1863, 8.3599, 8.3599
004, 8.9609, 8.9609, 7.7745, 7.7745
005, 8.8170, 8.8170, 7.8352, 7.8352
006, 8.6647, 8.6647, 7.5629, 7.5629
007, 8.4188, 8.4188, 7.4608, 7.4608
008, 8.3761, 8.3761, 7.2963, 7.2963
009, 8.2947, 8.2947, 7.1294, 7.1294
010, 8.0995, 8.0995, 7.2082, 7.2082
011, 8.1093, 8.1093, 7.1736, 7.1736
012, 7.9811, 7.9811, 6.6995, 6.6995
013, 7.9689, 7.9689, 6.9477, 6.9477
014, 7.9215, 7.9215, 6.9541, 6.9541
015, 7.7452, 7.7452, 6.6286, 6.6286
016, 7.6944, 7.6944, 6.6814, 6.6814
017, 7.7395, 7.7395, 6.8703, 6.8703
018, 7.6532, 7.6532, 6.9880, 6.9880
019, 7.6098, 7.6098, 6.5688, 6.5688
020, 7.5140, 7.5140, 6.5136, 6.5136
021, 7.5782, 7.5782, 6.4011, 6.4011
022, 7.3810, 7.3810, 6.4526, 6.4526
023, 7.4581, 7.4581, 6.4689, 6.4689
024, 7.3186, 7.3186, 6.6444, 6.6444
025, 7.3297, 7.3297, 6.3936, 6.3936
026, 7.3594, 7.3594, 6.6826, 6.6826
027, 7.2547, 7.2547, 6.5917, 6.5917
028, 7.2547, 7.2547, 6.8107, 6.8107
029, 7.1204, 7.1204, 6.7206, 6.7206
030, 7.1195, 7.1195, 6.2493, 6.2493
031, 6.7429, 6.7429, 6.0289, 6.0289
032, 6.5955, 6.5955, 5.9692, 5.9692
033, 6.5107, 6.5107, 5.9141, 5.9141
034, 6.4686, 6.4686, 5.8546, 5.8546
035, 6.4095, 6.4095, 5.8766, 5.8766
036, 6.4164, 6.4164, 5.8638, 5.8638
037, 6.3772, 6.3772, 5.8977, 5.8977
038, 6.3001, 6.3001, 5.9221, 5.9221
039, 6.2661, 6.2661, 5.9038, 5.9038
040, 6.2813, 6.2813, 5.8905, 5.8905
041, 6.2677, 6.2677, 5.8799, 5.8799
042, 6.3329, 6.3329, 5.9253, 5.9253
043, 6.2237, 6.2237, 5.8257, 5.8257
044, 6.1654, 6.1654, 5.8887, 5.8887
045, 6.1635, 6.1635, 5.8346, 5.8346
046, 6.2068, 6.2068, 5.7855, 5.7855
047, 6.1263, 6.1263, 5.8388, 5.8388
048, 6.1660, 6.1660, 5.8005, 5.8005
049, 6.0749, 6.0749, 5.9013, 5.9013
050, 6.0306, 6.0306, 5.8408, 5.8408
051, 6.0638, 6.0638, 5.8700, 5.8700
052, 6.1239, 6.1239, 5.8147, 5.8147
053, 6.0240, 6.0240, 5.7683, 5.7683
054, 5.9822, 5.9822, 5.7725, 5.7725
055, 5.9881, 5.9881, 5.7536, 5.7536
056, 6.0565, 6.0565, 5.7997, 5.7997
057, 5.9357, 5.9357, 5.7850, 5.7850
058, 6.0633, 6.0633, 5.7742, 5.7742
059, 6.0360, 6.0360, 5.7867, 5.7867
060, 6.0013, 6.0013, 5.7822, 5.7822
061, 5.9776, 5.9776, 5.7539, 5.7539
062, 6.0142, 6.0142, 5.7661, 5.7661
063, 5.9338, 5.9338, 5.7732, 5.7732
064, 5.9537, 5.9537, 5.7563, 5.7563
065, 5.9560, 5.9560, 5.7814, 5.7814
test_loss, test_MAE:
5.8554, 5.8554
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.119, 0.235, 0.345, 0.443, 0.524, 0.611, 0.684, 0.738, 0.785, 0.824

