******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_MAE, valid_loss, valid_MAE
001, 11.7670, 11.7670, 10.0723, 10.0723
002, 9.6990, 9.6990, 8.4212, 8.4212
003, 9.1751, 9.1751, 8.1105, 8.1105
004, 9.0320, 9.0320, 7.9894, 7.9894
005, 8.7894, 8.7894, 7.8016, 7.8016
006, 8.6269, 8.6269, 7.5461, 7.5461
007, 8.4751, 8.4751, 7.5477, 7.5477
008, 8.3680, 8.3680, 7.2421, 7.2421
009, 8.1845, 8.1845, 7.5879, 7.5879
010, 8.1070, 8.1070, 7.5876, 7.5876
011, 8.0436, 8.0436, 7.1573, 7.1573
012, 8.0877, 8.0877, 7.5788, 7.5788
013, 7.9144, 7.9144, 7.0973, 7.0973
014, 7.8921, 7.8921, 7.3803, 7.3803
015, 7.7692, 7.7692, 6.9314, 6.9314
016, 7.7654, 7.7654, 7.0167, 7.0167
017, 7.7394, 7.7394, 7.7435, 7.7435
018, 7.6501, 7.6501, 6.7015, 6.7015
019, 7.6883, 7.6883, 7.4457, 7.4457
020, 7.5523, 7.5523, 6.9853, 6.9853
021, 7.5023, 7.5023, 6.6612, 6.6612
022, 7.4435, 7.4435, 6.7773, 6.7773
023, 7.3834, 7.3834, 6.5461, 6.5461
024, 7.3180, 7.3180, 7.0700, 7.0700
025, 7.3801, 7.3801, 6.8189, 6.8189
026, 7.4612, 7.4612, 6.4817, 6.4817
027, 7.2801, 7.2801, 6.7370, 6.7370
028, 7.2126, 7.2126, 6.6122, 6.6122
029, 7.2016, 7.2016, 6.5321, 6.5321
030, 7.1459, 7.1459, 6.7052, 6.7052
031, 6.6923, 6.6923, 6.2271, 6.2271
032, 6.5901, 6.5901, 6.1252, 6.1252
033, 6.5685, 6.5685, 6.1384, 6.1384
034, 6.4925, 6.4925, 6.1063, 6.1063
035, 6.3591, 6.3591, 6.0440, 6.0440
036, 6.4701, 6.4701, 6.0021, 6.0021
037, 6.3373, 6.3373, 6.1026, 6.1026
038, 6.3665, 6.3665, 6.1075, 6.1075
039, 6.2259, 6.2259, 6.0887, 6.0887
040, 6.3725, 6.3725, 6.0022, 6.0022
041, 6.2873, 6.2873, 6.0555, 6.0555
042, 6.2122, 6.2122, 6.0706, 6.0706
043, 6.2035, 6.2035, 5.9797, 5.9797
044, 6.2827, 6.2827, 6.0635, 6.0635
045, 6.2478, 6.2478, 5.9792, 5.9792
046, 6.1409, 6.1409, 6.0431, 6.0431
047, 6.1835, 6.1835, 5.9897, 5.9897
048, 6.2300, 6.2300, 6.0699, 6.0699
049, 6.0996, 6.0996, 6.0083, 6.0083
050, 6.1256, 6.1256, 6.0305, 6.0305
051, 6.0663, 6.0663, 5.9804, 5.9804
052, 6.0036, 6.0036, 5.9853, 5.9853
053, 5.9711, 5.9711, 5.9565, 5.9565
054, 5.9624, 5.9624, 5.9749, 5.9749
055, 6.0053, 6.0053, 5.9981, 5.9981
056, 5.9848, 5.9848, 5.9586, 5.9586
057, 6.0180, 6.0180, 5.9844, 5.9844
058, 5.9212, 5.9212, 5.9457, 5.9457
059, 5.9619, 5.9619, 5.9592, 5.9592
060, 6.0055, 6.0055, 5.9578, 5.9578
061, 5.9781, 5.9781, 5.9831, 5.9831
062, 6.0002, 6.0002, 5.9629, 5.9629
063, 5.8854, 5.8854, 5.9515, 5.9515
064, 5.9372, 5.9372, 6.0382, 6.0382
065, 5.8826, 5.8826, 5.9440, 5.9440
test_loss, test_MAE:
5.8265, 5.8265
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.115, 0.237, 0.348, 0.448, 0.524, 0.605, 0.675, 0.738, 0.790, 0.832

