******************************************************************
records on MORPH2 dataset under S1-S2-S3 protocol
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_cross_entropy_loss, valid_kl_loss, valid_argmax_MAE, valid_accuracy
001, 8.7185, 64.6981, 8.7185, 6.5903, 85.7805, 6.0136, 60.8526, 6.0136, 4.3198, 91.4156
002, 6.4894, 61.6017, 6.4894, 5.4856, 90.3774, 6.8100, 59.0169, 6.8100, 5.8391, 92.7411
003, 6.1545, 61.0366, 6.1545, 5.2731, 90.8709, 5.0706, 58.4622, 5.0706, 4.8250, 93.3968
004, 5.9439, 60.7231, 5.9439, 5.0975, 91.2884, 4.7651, 57.1924, 4.7651, 3.9238, 94.0439
005, 5.7229, 60.3398, 5.7229, 4.9229, 91.5090, 8.0003, 62.5668, 8.0003, 5.2239, 90.8435
006, 5.4760, 59.9217, 5.4760, 4.7507, 91.9011, 7.3179, 62.3031, 7.3179, 4.6463, 91.0022
007, 5.5426, 60.0545, 5.5426, 4.7788, 91.8432, 5.7572, 60.1691, 5.7572, 5.3594, 93.2419
008, 5.4342, 59.8746, 5.4342, 4.7091, 91.9539, 4.6209, 58.2689, 4.6209, 3.2361, 93.1165
009, 5.1744, 59.4540, 5.1744, 4.5137, 92.2814, 4.4836, 56.7331, 4.4836, 3.2211, 94.3432
010, 5.1151, 59.3336, 5.1151, 4.4628, 92.4082, 4.8240, 57.5782, 4.8240, 3.2173, 93.6923
011, 5.0389, 59.2062, 5.0389, 4.3845, 92.5351, 3.9160, 56.5550, 3.9160, 3.2747, 94.7670
012, 4.9320, 59.0342, 4.9320, 4.2889, 92.6306, 4.5971, 57.2306, 4.5971, 4.0847, 94.2311
013, 4.8486, 58.8935, 4.8486, 4.2356, 92.7474, 4.7672, 57.2380, 4.7672, 3.4760, 94.4696
014, 4.8391, 58.8503, 4.8391, 4.2427, 92.7712, 4.2308, 58.0914, 4.2308, 4.0593, 93.5983
015, 4.8378, 58.8836, 4.8378, 4.2437, 92.7496, 4.1085, 56.6022, 4.1085, 3.4497, 94.6825
016, 4.6022, 58.4637, 4.6022, 4.0918, 92.9973, 3.8448, 56.7023, 3.8448, 3.2559, 94.2568
017, 4.5891, 58.4570, 4.5891, 4.0494, 93.0260, 3.8889, 56.2600, 3.8889, 3.4534, 94.6597
018, 4.5040, 58.3274, 4.5040, 3.9735, 93.1365, 4.0184, 56.0125, 4.0184, 3.1891, 94.8554
019, 4.5218, 58.3336, 4.5218, 3.9668, 93.1404, 3.9248, 56.5304, 3.9248, 3.1007, 94.6758
020, 4.4705, 58.2627, 4.4705, 3.9629, 93.1963, 4.6821, 57.6430, 4.6821, 3.2606, 93.6486
021, 4.4454, 58.2208, 4.4454, 3.9119, 93.2370, 4.5610, 57.3660, 4.5610, 3.2361, 94.4877
022, 4.4279, 58.1866, 4.4279, 3.9015, 93.2348, 4.8128, 57.6646, 4.8128, 4.1656, 94.5076
023, 4.3046, 57.9794, 4.3046, 3.8260, 93.3247, 4.5085, 57.1437, 4.5085, 3.0188, 94.2501
024, 4.3009, 57.9712, 4.3009, 3.8162, 93.3949, 4.2652, 56.9959, 4.2652, 3.8024, 94.7594
025, 4.3101, 58.0040, 4.3101, 3.8119, 93.4218, 3.8304, 56.5194, 3.8304, 3.2738, 94.6616
026, 4.2765, 57.9406, 4.2765, 3.7656, 93.4797, 4.6673, 58.3693, 4.6673, 3.1825, 93.7836
027, 4.1105, 57.6825, 4.1105, 3.6395, 93.6513, 4.3197, 56.2449, 4.3197, 3.2540, 95.2830
028, 4.2424, 57.8729, 4.2424, 3.7645, 93.5203, 4.1218, 57.4248, 4.1218, 3.6548, 94.4991
029, 4.1803, 57.7854, 4.1803, 3.7116, 93.5535, 4.4070, 56.9744, 4.4070, 3.7874, 94.6682
030, 4.0695, 57.5908, 4.0695, 3.6185, 93.6841, 4.3675, 57.1152, 4.3675, 3.9229, 94.6350
031, 3.8052, 57.1640, 3.8052, 3.4325, 93.9849, 3.7074, 56.8165, 3.7074, 2.9417, 94.6350
032, 3.6746, 56.9430, 3.6746, 3.3291, 94.1298, 3.7579, 56.7800, 3.7579, 2.8053, 94.5865
033, 3.6200, 56.8512, 3.6200, 3.2636, 94.2104, 3.6770, 57.0687, 3.6770, 3.2032, 94.5646
034, 3.6270, 56.8619, 3.6270, 3.2810, 94.2003, 3.6022, 56.4250, 3.6022, 3.1787, 94.9219
035, 3.6421, 56.8889, 3.6421, 3.2868, 94.2021, 3.6145, 57.1095, 3.6145, 3.2013, 94.6236
036, 3.5514, 56.7506, 3.5514, 3.2204, 94.2452, 3.5406, 56.2778, 3.5406, 2.8796, 95.0293
037, 3.5723, 56.7694, 3.5723, 3.2400, 94.2517, 3.5426, 56.8149, 3.5426, 2.9624, 94.7718
038, 3.5287, 56.6913, 3.5287, 3.2072, 94.3204, 3.5111, 56.1917, 3.5111, 2.9370, 95.0407
039, 3.4571, 56.5788, 3.4571, 3.1495, 94.3948, 3.5686, 56.6811, 3.5686, 3.0395, 94.8944
040, 3.5088, 56.6740, 3.5088, 3.1512, 94.3697, 3.5657, 56.8898, 3.5657, 3.1976, 94.8184
041, 3.4759, 56.6140, 3.4759, 3.1765, 94.3659, 3.5420, 56.5362, 3.5420, 3.0188, 94.8896
042, 3.5314, 56.6956, 3.5314, 3.1674, 94.3616, 3.5639, 56.9911, 3.5639, 3.0677, 94.7300
043, 3.4178, 56.5087, 3.4178, 3.1271, 94.4089, 3.5417, 56.8110, 3.5417, 2.9191, 94.8440
044, 3.4625, 56.5824, 3.4625, 3.1153, 94.4252, 3.4854, 56.6055, 3.4854, 2.8598, 94.8944
045, 3.4566, 56.5802, 3.4566, 3.1368, 94.4017, 3.5848, 56.7619, 3.5848, 3.1317, 94.9276
046, 3.4263, 56.5162, 3.4263, 3.0883, 94.4735, 3.5257, 56.4904, 3.5257, 2.8664, 95.0293
047, 3.4202, 56.5153, 3.4202, 3.1125, 94.4509, 3.8090, 57.3209, 3.8090, 3.4788, 94.7537
048, 3.4889, 56.6340, 3.4889, 3.1366, 94.4270, 3.5518, 56.9039, 3.5518, 3.1373, 94.7461
049, 3.4003, 56.4651, 3.4003, 3.0724, 94.4927, 3.5335, 56.8922, 3.5335, 2.9069, 94.7395
050, 3.4084, 56.4934, 3.4084, 3.1034, 94.4701, 3.5594, 56.8896, 3.5594, 2.9247, 94.7918
051, 3.3810, 56.4541, 3.3810, 3.0671, 94.5044, 3.5829, 56.6369, 3.5829, 2.9454, 94.8830
052, 3.3374, 56.3537, 3.3374, 3.0365, 94.5616, 3.5840, 56.7401, 3.5840, 3.0696, 94.9210
053, 3.3580, 56.4345, 3.3580, 3.1007, 94.5297, 3.5269, 57.3026, 3.5269, 2.9765, 94.6891
054, 3.3642, 56.4138, 3.3642, 3.0586, 94.5385, 3.6926, 56.8627, 3.6926, 3.2070, 94.8013
055, 3.3823, 56.4474, 3.3823, 3.0476, 94.5433, 3.5758, 56.9188, 3.5758, 3.0536, 94.7632
056, 3.3533, 56.3894, 3.3533, 3.0453, 94.5608, 3.5558, 56.8298, 3.5558, 3.0818, 94.8640
057, 3.3895, 56.4633, 3.3895, 3.0988, 94.4912, 3.5878, 56.9378, 3.5878, 3.0771, 94.8573
058, 3.3253, 56.3416, 3.3253, 3.0426, 94.5549, 3.6116, 57.3137, 3.6116, 2.9708, 94.5732
059, 3.3841, 56.4568, 3.3841, 3.0537, 94.5138, 3.5471, 56.9537, 3.5471, 2.8758, 94.7822
060, 3.3883, 56.4679, 3.3883, 3.0499, 94.5368, 3.6921, 56.7436, 3.6921, 2.7770, 94.7129
061, 3.3569, 56.3409, 3.3569, 3.0389, 94.5928, 3.5415, 57.0304, 3.5415, 2.9097, 94.6929
062, 3.3310, 56.3458, 3.3310, 3.0248, 94.5992, 3.5457, 56.8850, 3.5457, 3.0235, 94.8222
063, 3.3571, 56.3645, 3.3571, 3.0273, 94.5899, 3.5919, 56.7661, 3.5919, 2.8166, 94.8754
064, 3.3640, 56.4073, 3.3640, 3.0424, 94.5625, 3.5756, 56.7984, 3.5756, 2.8692, 94.7680
065, 3.3153, 56.3477, 3.3153, 3.0210, 94.5757, 3.5906, 56.8824, 3.5906, 2.8843, 94.8022
test_total_loss, test_cross_entropy_loss, test_kl_loss, test_argmax_MAE, test_accuracy:
3.9018, 57.0863, 3.9018, 2.8939, 94.5583
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.360, 0.541, 0.680, 0.785, 0.859, 0.909, 0.942, 0.964, 0.978, 0.986

test_total_loss, test_cross_entropy_loss, test_kl_loss, test_argmax_MAE, test_accuracy:
4.1539, 55.8688, 4.1539, 3.1381, 95.3201
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.339, 0.510, 0.646, 0.750, 0.831, 0.885, 0.925, 0.952, 0.968, 0.979

