******************************************************************
records on MORPH2 dataset under S1-S2-S3 protocol
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_cross_entropy_loss, valid_kl_loss, valid_argmax_MAE, valid_accuracy
001, 14.0576, 26.2231, 14.0576, 6.0042, 93.1580, 9.8469, 21.4888, 9.8469, 4.1016, 95.1747
002, 11.0419, 23.4403, 11.0419, 4.9642, 94.4774, 9.1060, 21.2146, 9.1060, 3.9059, 95.4655
003, 10.3640, 22.6994, 10.3640, 4.6417, 94.8052, 9.1587, 20.9568, 9.1587, 4.2070, 95.4408
004, 10.0168, 22.3308, 10.0168, 4.5082, 94.9394, 9.3098, 20.9141, 9.3098, 4.2154, 95.4332
005, 9.6066, 21.8708, 9.6066, 4.2725, 95.1781, 9.3101, 21.3166, 9.3101, 4.4045, 95.2745
006, 9.3203, 21.5555, 9.3203, 4.1663, 95.2810, 9.0907, 21.1731, 9.0907, 3.8749, 95.3809
007, 9.2544, 21.4736, 9.2544, 4.1326, 95.3212, 8.8743, 20.7106, 8.8743, 4.0348, 95.6137
008, 8.9943, 21.1937, 8.9943, 3.9561, 95.4963, 8.2443, 19.6953, 8.2443, 3.6322, 95.9653
009, 8.8915, 21.0674, 8.8915, 3.9417, 95.5164, 8.0564, 19.9651, 8.0564, 3.4976, 96.0556
010, 8.6990, 20.8511, 8.6990, 3.8274, 95.6295, 7.4879, 19.3786, 7.4879, 3.1590, 96.2238
011, 8.5075, 20.6422, 8.5075, 3.7422, 95.7082, 8.7311, 20.8517, 8.7311, 3.9323, 95.7277
012, 8.4844, 20.6032, 8.4844, 3.7348, 95.7232, 7.5463, 19.6530, 7.5463, 3.1326, 96.2247
013, 8.3452, 20.4450, 8.3452, 3.6438, 95.8092, 7.6117, 19.6466, 7.6117, 3.1571, 96.2133
014, 8.1910, 20.2772, 8.1910, 3.5706, 95.8851, 9.8554, 21.5589, 9.8554, 4.4252, 95.2973
015, 8.1814, 20.2606, 8.1814, 3.6023, 95.8526, 10.0340, 21.8087, 10.0340, 3.8100, 95.3353
016, 8.0289, 20.0935, 8.0289, 3.5400, 95.9132, 8.6020, 20.7606, 8.6020, 3.4864, 95.7296
017, 7.9350, 19.9841, 7.9350, 3.4723, 95.9859, 7.5366, 19.6588, 7.5366, 3.1825, 96.3197
018, 7.9824, 20.0398, 7.9824, 3.4995, 95.9590, 8.2719, 20.6275, 8.2719, 3.4318, 95.8589
019, 7.8145, 19.8477, 7.8145, 3.4111, 96.0420, 7.4963, 19.4589, 7.4963, 3.1806, 96.2209
020, 7.9388, 19.9963, 7.9388, 3.4818, 95.9729, 7.6780, 19.4564, 7.6780, 3.3246, 96.2475
021, 7.7459, 19.7716, 7.7459, 3.3666, 96.0900, 7.2444, 19.0506, 7.2444, 3.0263, 96.4499
022, 7.5616, 19.5586, 7.5616, 3.2991, 96.1671, 7.3099, 19.0843, 7.3099, 3.0489, 96.3026
023, 7.5893, 19.5894, 7.5893, 3.3235, 96.1351, 8.2655, 20.1863, 8.2655, 3.4732, 95.9463
024, 7.5851, 19.5865, 7.5851, 3.3177, 96.1364, 7.6206, 19.4624, 7.6206, 3.1223, 96.2836
025, 7.4734, 19.4666, 7.4734, 3.2793, 96.1847, 7.4112, 19.2245, 7.4112, 3.1618, 96.3872
026, 7.3398, 19.3108, 7.3398, 3.1940, 96.2609, 7.6874, 19.5180, 7.6874, 3.1261, 96.2333
027, 7.3595, 19.3331, 7.3595, 3.2101, 96.2463, 7.2823, 19.0563, 7.2823, 3.1599, 96.3558
028, 7.3938, 19.3718, 7.3938, 3.2328, 96.2341, 7.8320, 19.5217, 7.8320, 3.1675, 96.1648
029, 7.3523, 19.3203, 7.3523, 3.2185, 96.2420, 8.9922, 21.0556, 8.9922, 3.6162, 95.6755
030, 7.4063, 19.3879, 7.4063, 3.2165, 96.2421, 7.3469, 19.0222, 7.3469, 3.0395, 96.4129
031, 6.8074, 18.7405, 6.8074, 2.9633, 96.4984, 6.7961, 18.8241, 6.7961, 2.8918, 96.5582
032, 6.5863, 18.4744, 6.5863, 2.8632, 96.6041, 6.7318, 18.6390, 6.7318, 2.8373, 96.6010
033, 6.4238, 18.2756, 6.4238, 2.7824, 96.6783, 6.6915, 18.3939, 6.6915, 2.8335, 96.6333
034, 6.4790, 18.3445, 6.4790, 2.7893, 96.6740, 6.8857, 18.8359, 6.8857, 2.8382, 96.5468
035, 6.4103, 18.2728, 6.4103, 2.7785, 96.6871, 6.7481, 18.5989, 6.7481, 2.8589, 96.5953
036, 6.2774, 18.1087, 6.2774, 2.6835, 96.7849, 6.9087, 18.8090, 6.9087, 2.9313, 96.5392
