******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_argmax_MAE, train_exp_MAE, valid_loss, valid_argmax_MAE, valid_exp_MAE
001, 1.545, 11.965, 10.922, 1.393, 9.851, 8.726
002, 1.372, 9.828, 9.169, 1.439, 10.236, 9.606
003, 1.326, 9.420, 8.749, 1.187, 7.914, 7.377
004, 1.296, 9.147, 8.520, 1.284, 9.094, 7.869
005, 1.271, 8.953, 8.368, 1.166, 7.772, 7.170
006, 1.251, 8.761, 8.169, 1.150, 7.551, 7.089
007, 1.227, 8.528, 7.966, 1.180, 8.123, 7.258
008, 1.220, 8.451, 7.957, 1.163, 7.549, 6.988
009, 1.206, 8.415, 7.849, 1.105, 7.220, 6.757
010, 1.189, 8.164, 7.703, 1.113, 7.337, 6.813
011, 1.184, 8.184, 7.686, 1.100, 7.226, 6.548
012, 1.172, 8.003, 7.524, 1.194, 7.739, 7.017
013, 1.166, 7.956, 7.542, 1.166, 7.820, 7.087
014, 1.154, 7.881, 7.455, 1.118, 7.660, 6.879
015, 1.136, 7.758, 7.297, 1.130, 7.587, 6.659
016, 1.131, 7.708, 7.271, 1.099, 7.243, 6.705
017, 1.132, 7.740, 7.297, 1.082, 6.885, 6.522
018, 1.120, 7.612, 7.243, 1.085, 6.951, 6.586
019, 1.113, 7.522, 7.180, 1.178, 7.590, 7.198
020, 1.113, 7.536, 7.145, 1.078, 7.093, 6.422
021, 1.112, 7.554, 7.159, 1.058, 6.678, 6.453
022, 1.098, 7.397, 7.057, 1.073, 7.071, 6.460
023, 1.095, 7.415, 7.025, 1.079, 6.853, 6.511
024, 1.087, 7.295, 6.969, 1.097, 6.981, 6.609
025, 1.080, 7.162, 6.870, 1.075, 6.854, 6.429
026, 1.078, 7.175, 6.912, 1.132, 7.212, 6.888
027, 1.078, 7.276, 6.907, 1.100, 6.918, 6.442
028, 1.076, 7.262, 6.927, 1.205, 7.823, 7.311
029, 1.062, 7.044, 6.790, 1.109, 6.816, 6.527
030, 1.064, 7.135, 6.835, 1.097, 6.734, 6.574
031, 0.994, 6.404, 6.353, 1.018, 6.253, 6.059
032, 0.944, 6.013, 6.022, 1.010, 6.164, 5.978
033, 0.931, 5.945, 5.919, 1.012, 6.140, 5.965
034, 0.910, 5.793, 5.782, 1.035, 6.201, 6.063
035, 0.891, 5.652, 5.633, 1.021, 6.056, 5.899
036, 0.885, 5.620, 5.636, 1.022, 6.100, 5.932
037, 0.883, 5.622, 5.591, 1.035, 6.150, 5.941
038, 0.876, 5.584, 5.533, 1.031, 6.105, 5.901
039, 0.858, 5.480, 5.452, 1.037, 6.113, 5.914
040, 0.857, 5.465, 5.422, 1.053, 6.239, 6.007
041, 0.845, 5.395, 5.380, 1.045, 6.154, 5.926
042, 0.852, 5.459, 5.454, 1.055, 6.210, 5.967
043, 0.831, 5.336, 5.285, 1.024, 5.987, 5.833
044, 0.834, 5.383, 5.300, 1.045, 6.049, 5.860
045, 0.828, 5.285, 5.253, 1.056, 6.189, 5.908
046, 0.823, 5.288, 5.237, 1.056, 6.178, 5.897
047, 0.812, 5.186, 5.173, 1.069, 6.312, 5.955
048, 0.818, 5.279, 5.226, 1.051, 6.088, 5.837
049, 0.802, 5.123, 5.098, 1.051, 6.168, 5.902
050, 0.788, 4.990, 5.003, 1.068, 6.163, 5.891
051, 0.775, 4.940, 4.936, 1.059, 6.059, 5.822
052, 0.776, 4.939, 4.944, 1.052, 6.102, 5.829
053, 0.776, 4.956, 4.952, 1.043, 6.071, 5.823
054, 0.766, 4.871, 4.886, 1.048, 6.062, 5.820
055, 0.762, 4.869, 4.882, 1.051, 6.033, 5.797
056, 0.765, 4.886, 4.891, 1.053, 6.056, 5.816
057, 0.760, 4.852, 4.829, 1.056, 6.141, 5.849
058, 0.758, 4.862, 4.870, 1.061, 6.083, 5.846
059, 0.758, 4.814, 4.861, 1.062, 6.052, 5.863
060, 0.756, 4.788, 4.812, 1.046, 6.097, 5.812
061, 0.752, 4.764, 4.785, 1.062, 6.049, 5.829
062, 0.761, 4.895, 4.881, 1.057, 6.051, 5.818
063, 0.742, 4.743, 4.733, 1.057, 6.096, 5.829
064, 0.749, 4.746, 4.787, 1.047, 6.058, 5.810
065, 0.739, 4.696, 4.715, 1.061, 6.071, 5.844
test_loss, test_argmax_MAE:
0.995, 5.893
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.183, 0.288, 0.392, 0.490, 0.573, 0.650, 0.715, 0.766, 0.811, 0.846

test_loss, test_exp_MAE:
1.025, 5.708
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.121, 0.241, 0.350, 0.451, 0.545, 0.621, 0.694, 0.754, 0.799, 0.843

