******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_argmax_MAE, train_exp_MAE, valid_loss, valid_argmax_MAE, valid_exp_MAE
001, 1.542, 11.958, 10.898, 1.443, 10.690, 9.508
002, 1.383, 10.120, 9.332, 1.433, 10.357, 9.455
003, 1.327, 9.515, 8.818, 1.254, 8.445, 7.869
004, 1.296, 9.200, 8.550, 1.247, 8.487, 8.001
005, 1.261, 8.876, 8.272, 1.199, 8.069, 7.735
006, 1.246, 8.700, 8.138, 1.234, 8.424, 7.719
007, 1.227, 8.506, 7.996, 1.170, 7.861, 7.322
008, 1.214, 8.438, 7.905, 1.232, 8.401, 7.624
009, 1.192, 8.276, 7.778, 1.114, 7.304, 6.927
010, 1.182, 8.144, 7.692, 1.130, 7.456, 6.937
011, 1.171, 8.066, 7.567, 1.160, 7.981, 7.076
012, 1.174, 8.120, 7.646, 1.273, 8.434, 7.861
013, 1.156, 7.872, 7.428, 1.180, 7.882, 7.223
014, 1.145, 7.868, 7.398, 1.117, 7.175, 6.832
015, 1.139, 7.761, 7.368, 1.117, 7.373, 6.933
016, 1.129, 7.720, 7.309, 1.100, 7.085, 6.775
017, 1.130, 7.749, 7.319, 1.101, 7.424, 6.827
018, 1.123, 7.638, 7.231, 1.085, 6.848, 6.719
019, 1.117, 7.647, 7.236, 1.213, 8.237, 7.389
020, 1.102, 7.449, 7.077, 1.160, 7.453, 7.037
021, 1.102, 7.490, 7.109, 1.093, 7.102, 6.689
022, 1.092, 7.373, 7.027, 1.091, 6.958, 6.669
023, 1.094, 7.412, 7.022, 1.061, 7.040, 6.455
024, 1.079, 7.222, 6.896, 1.077, 6.907, 6.521
025, 1.082, 7.295, 6.968, 1.093, 7.020, 6.648
026, 1.079, 7.296, 6.961, 1.085, 7.095, 6.541
027, 1.069, 7.176, 6.881, 1.114, 7.503, 6.786
028, 1.061, 7.186, 6.812, 1.077, 6.958, 6.560
029, 1.059, 7.101, 6.785, 1.117, 6.773, 6.619
030, 1.055, 7.082, 6.798, 1.047, 6.743, 6.407
031, 0.966, 6.230, 6.102, 0.988, 6.050, 5.961
032, 0.931, 5.940, 5.930, 0.990, 6.085, 5.918
033, 0.919, 5.882, 5.847, 0.992, 6.008, 5.878
034, 0.899, 5.743, 5.701, 1.001, 6.010, 5.908
035, 0.888, 5.647, 5.628, 1.006, 5.971, 5.851
036, 0.884, 5.623, 5.618, 1.006, 5.904, 5.847
037, 0.870, 5.629, 5.541, 1.020, 6.137, 5.904
038, 0.867, 5.568, 5.503, 1.019, 6.052, 5.895
039, 0.852, 5.431, 5.364, 1.028, 6.099, 5.898
040, 0.863, 5.565, 5.493, 1.018, 6.045, 5.848
041, 0.848, 5.444, 5.392, 1.024, 6.020, 5.868
042, 0.833, 5.329, 5.306, 1.014, 5.948, 5.842
043, 0.826, 5.283, 5.228, 1.025, 5.897, 5.803
044, 0.832, 5.381, 5.321, 1.027, 6.026, 5.853
045, 0.824, 5.320, 5.254, 1.024, 6.033, 5.848
046, 0.809, 5.186, 5.133, 1.042, 6.029, 5.848
047, 0.810, 5.181, 5.149, 1.030, 6.006, 5.765
048, 0.812, 5.254, 5.198, 1.041, 5.914, 5.843
049, 0.796, 5.143, 5.087, 1.053, 6.089, 5.891
050, 0.798, 5.103, 5.098, 1.079, 6.011, 5.905
051, 0.780, 5.047, 5.013, 1.041, 5.935, 5.806
052, 0.763, 4.833, 4.871, 1.051, 5.914, 5.808
053, 0.765, 4.877, 4.888, 1.041, 5.929, 5.790
054, 0.755, 4.809, 4.800, 1.053, 5.938, 5.819
055, 0.756, 4.852, 4.854, 1.050, 5.951, 5.824
056, 0.753, 4.799, 4.833, 1.049, 5.910, 5.785
057, 0.754, 4.796, 4.806, 1.053, 5.918, 5.787
058, 0.752, 4.843, 4.803, 1.056, 5.955, 5.793
059, 0.751, 4.810, 4.799, 1.054, 5.885, 5.777
060, 0.754, 4.850, 4.816, 1.046, 5.987, 5.793
061, 0.745, 4.762, 4.759, 1.046, 5.929, 5.793
062, 0.749, 4.789, 4.798, 1.052, 5.939, 5.786
063, 0.741, 4.727, 4.741, 1.049, 5.938, 5.773
064, 0.749, 4.769, 4.796, 1.053, 5.938, 5.787
065, 0.736, 4.684, 4.715, 1.049, 5.932, 5.771
test_loss, test_argmax_MAE:
1.042, 5.999
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.173, 0.284, 0.394, 0.488, 0.574, 0.648, 0.710, 0.763, 0.810, 0.842

test_loss, test_exp_MAE:
1.031, 5.809
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.113, 0.231, 0.337, 0.445, 0.544, 0.619, 0.691, 0.749, 0.797, 0.836

