******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_argmax_MAE, train_exp_MAE, valid_loss, valid_argmax_MAE, valid_exp_MAE
001, 1.538, 11.831, 10.795, 1.358, 9.622, 8.664
002, 1.377, 10.044, 9.210, 1.455, 10.321, 9.473
003, 1.318, 9.368, 8.729, 1.201, 8.133, 7.591
004, 1.283, 9.044, 8.454, 1.180, 7.735, 7.328
005, 1.262, 8.843, 8.283, 1.175, 8.067, 7.297
006, 1.240, 8.777, 8.122, 1.174, 8.051, 7.233
007, 1.222, 8.523, 7.976, 1.138, 7.600, 6.981
008, 1.207, 8.420, 7.851, 1.141, 7.838, 6.916
009, 1.187, 8.189, 7.704, 1.093, 7.218, 6.797
010, 1.180, 8.132, 7.709, 1.156, 7.679, 7.140
011, 1.172, 8.097, 7.586, 1.139, 7.895, 6.911
012, 1.165, 8.018, 7.555, 1.248, 8.287, 7.710
013, 1.155, 7.885, 7.450, 1.112, 7.288, 6.797
014, 1.144, 7.828, 7.371, 1.107, 7.162, 6.891
015, 1.138, 7.724, 7.319, 1.139, 7.824, 6.991
016, 1.126, 7.712, 7.286, 1.118, 7.166, 6.724
017, 1.119, 7.607, 7.189, 1.085, 6.999, 6.576
018, 1.119, 7.569, 7.200, 1.081, 6.948, 6.563
019, 1.113, 7.599, 7.192, 1.166, 7.773, 7.072
020, 1.110, 7.558, 7.175, 1.078, 6.746, 6.532
021, 1.097, 7.400, 7.036, 1.051, 6.986, 6.444
022, 1.081, 7.293, 6.939, 1.037, 6.606, 6.226
023, 1.092, 7.403, 7.005, 1.057, 6.821, 6.440
024, 1.078, 7.247, 6.907, 1.047, 6.926, 6.286
025, 1.085, 7.337, 6.959, 1.047, 6.823, 6.450
026, 1.067, 7.235, 6.899, 1.119, 7.135, 6.771
027, 1.061, 7.153, 6.820, 1.153, 7.748, 6.984
028, 1.062, 7.144, 6.796, 1.127, 7.544, 6.831
029, 1.059, 7.087, 6.781, 1.051, 6.742, 6.323
030, 1.058, 7.077, 6.801, 1.033, 6.629, 6.260
031, 0.960, 6.203, 6.102, 0.980, 6.010, 5.845
032, 0.933, 5.975, 5.947, 0.974, 6.086, 5.850
033, 0.909, 5.776, 5.782, 0.982, 6.138, 5.842
034, 0.900, 5.740, 5.719, 0.970, 5.955, 5.743
035, 0.889, 5.637, 5.623, 1.001, 6.103, 5.857
036, 0.883, 5.669, 5.628, 0.999, 6.085, 5.809
037, 0.871, 5.554, 5.533, 0.996, 6.077, 5.817
038, 0.859, 5.536, 5.475, 1.002, 6.078, 5.824
039, 0.847, 5.389, 5.364, 1.002, 6.020, 5.794
040, 0.861, 5.485, 5.468, 1.006, 6.090, 5.799
041, 0.837, 5.344, 5.294, 1.014, 6.108, 5.823
042, 0.835, 5.333, 5.334, 0.997, 5.999, 5.769
043, 0.821, 5.275, 5.216, 1.032, 6.137, 5.868
044, 0.822, 5.289, 5.245, 1.025, 6.108, 5.849
045, 0.815, 5.181, 5.187, 1.033, 6.199, 5.929
046, 0.811, 5.167, 5.136, 1.041, 6.167, 5.945
047, 0.805, 5.134, 5.112, 1.035, 6.103, 5.845
048, 0.802, 5.160, 5.148, 1.048, 6.154, 5.908
049, 0.794, 5.063, 5.048, 1.047, 6.158, 5.860
050, 0.796, 5.093, 5.081, 1.059, 6.124, 5.884
051, 0.776, 5.020, 4.967, 1.032, 6.082, 5.848
052, 0.757, 4.819, 4.850, 1.034, 6.022, 5.843
053, 0.758, 4.843, 4.858, 1.029, 6.018, 5.823
054, 0.752, 4.805, 4.814, 1.035, 6.046, 5.841
055, 0.753, 4.782, 4.803, 1.042, 6.046, 5.856
056, 0.760, 4.861, 4.900, 1.039, 5.996, 5.834
057, 0.756, 4.802, 4.837, 1.052, 6.065, 5.870
058, 0.752, 4.797, 4.822, 1.048, 6.074, 5.845
059, 0.743, 4.723, 4.736, 1.046, 6.054, 5.838
060, 0.753, 4.788, 4.809, 1.041, 6.111, 5.857
061, 0.740, 4.782, 4.759, 1.037, 6.043, 5.828
062, 0.747, 4.799, 4.790, 1.037, 6.033, 5.833
063, 0.739, 4.722, 4.753, 1.039, 6.036, 5.834
064, 0.745, 4.784, 4.773, 1.039, 6.069, 5.842
065, 0.739, 4.735, 4.739, 1.039, 6.008, 5.834
test_loss, test_argmax_MAE:
1.020, 6.192
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.174, 0.279, 0.379, 0.468, 0.551, 0.628, 0.692, 0.749, 0.793, 0.828

test_loss, test_exp_MAE:
1.020, 6.047
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.111, 0.227, 0.330, 0.426, 0.514, 0.596, 0.664, 0.722, 0.773, 0.812

