******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_argmax_MAE, train_exp_MAE, valid_loss, valid_argmax_MAE, valid_exp_MAE
001, 1.543, 11.844, 10.832, 1.447, 11.319, 9.422
002, 1.387, 10.033, 9.330, 1.396, 9.809, 9.136
003, 1.324, 9.425, 8.792, 1.220, 8.303, 7.851
004, 1.300, 9.220, 8.595, 1.202, 8.241, 7.361
005, 1.265, 8.866, 8.306, 1.161, 7.795, 7.442
006, 1.246, 8.651, 8.121, 1.147, 7.515, 7.196
007, 1.229, 8.501, 8.022, 1.143, 7.659, 7.176
008, 1.217, 8.398, 7.926, 1.155, 7.801, 7.139
009, 1.196, 8.217, 7.782, 1.105, 7.340, 6.889
010, 1.191, 8.255, 7.743, 1.143, 7.321, 6.954
011, 1.178, 8.114, 7.639, 1.098, 7.116, 6.697
012, 1.171, 8.032, 7.589, 1.319, 8.783, 8.191
013, 1.165, 7.979, 7.528, 1.396, 9.397, 8.509
014, 1.143, 7.760, 7.332, 1.122, 7.218, 6.851
015, 1.149, 7.816, 7.425, 1.143, 7.772, 7.221
016, 1.141, 7.858, 7.402, 1.173, 7.845, 7.245
017, 1.123, 7.643, 7.214, 1.082, 6.769, 6.672
018, 1.125, 7.557, 7.216, 1.072, 7.113, 6.586
019, 1.112, 7.548, 7.145, 1.066, 6.920, 6.545
020, 1.107, 7.491, 7.117, 1.083, 6.823, 6.686
021, 1.097, 7.428, 7.059, 1.165, 7.466, 7.121
022, 1.094, 7.372, 7.023, 1.072, 6.842, 6.534
023, 1.089, 7.346, 6.968, 1.038, 6.577, 6.203
024, 1.084, 7.296, 6.962, 1.062, 6.992, 6.374
025, 1.081, 7.327, 6.958, 1.048, 6.632, 6.387
026, 1.074, 7.176, 6.888, 1.043, 6.645, 6.259
027, 1.078, 7.207, 6.910, 1.107, 7.456, 6.685
028, 1.074, 7.175, 6.891, 1.045, 6.535, 6.286
029, 1.055, 7.069, 6.767, 1.128, 7.005, 6.799
030, 1.061, 7.081, 6.809, 1.093, 6.870, 6.725
031, 0.971, 6.191, 6.127, 0.954, 5.954, 5.708
032, 0.931, 5.936, 5.919, 0.947, 5.944, 5.665
033, 0.919, 5.896, 5.860, 0.955, 5.819, 5.660
034, 0.902, 5.731, 5.715, 0.959, 5.829, 5.672
035, 0.887, 5.653, 5.609, 0.977, 5.850, 5.679
036, 0.885, 5.638, 5.622, 0.967, 5.809, 5.638
037, 0.871, 5.549, 5.523, 0.972, 5.949, 5.652
038, 0.868, 5.573, 5.523, 0.976, 5.886, 5.678
039, 0.860, 5.485, 5.433, 0.985, 5.850, 5.656
040, 0.863, 5.512, 5.467, 0.984, 5.828, 5.631
041, 0.857, 5.475, 5.463, 0.989, 5.872, 5.665
042, 0.838, 5.295, 5.298, 0.984, 5.882, 5.671
043, 0.835, 5.355, 5.288, 1.020, 5.899, 5.724
044, 0.833, 5.351, 5.297, 1.003, 5.965, 5.691
045, 0.833, 5.383, 5.318, 1.007, 5.901, 5.708
046, 0.826, 5.319, 5.265, 1.030, 6.112, 5.825
047, 0.807, 5.099, 5.096, 1.009, 5.905, 5.651
048, 0.814, 5.206, 5.165, 1.025, 5.955, 5.800
049, 0.801, 5.111, 5.086, 1.056, 6.199, 5.871
050, 0.798, 5.126, 5.077, 1.036, 5.934, 5.677
051, 0.775, 4.990, 4.970, 1.023, 5.887, 5.678
052, 0.763, 4.889, 4.868, 1.030, 5.869, 5.664
053, 0.760, 4.831, 4.851, 1.029, 5.958, 5.691
054, 0.761, 4.902, 4.893, 1.032, 5.957, 5.702
055, 0.763, 4.884, 4.852, 1.030, 5.902, 5.697
056, 0.765, 4.928, 4.928, 1.028, 5.982, 5.679
057, 0.758, 4.835, 4.848, 1.024, 5.955, 5.671
058, 0.757, 4.893, 4.854, 1.031, 5.928, 5.652
059, 0.747, 4.756, 4.772, 1.042, 5.933, 5.677
060, 0.741, 4.736, 4.741, 1.026, 5.907, 5.662
061, 0.747, 4.760, 4.751, 1.016, 5.917, 5.665
062, 0.746, 4.758, 4.747, 1.023, 5.941, 5.654
063, 0.741, 4.730, 4.740, 1.029, 5.922, 5.657
064, 0.745, 4.744, 4.767, 1.029, 5.951, 5.663
065, 0.745, 4.790, 4.760, 1.027, 5.902, 5.658
test_loss, test_argmax_MAE:
0.998, 5.942
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.169, 0.284, 0.387, 0.492, 0.577, 0.651, 0.714, 0.766, 0.805, 0.841

test_loss, test_exp_MAE:
1.014, 5.814
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.116, 0.229, 0.344, 0.447, 0.541, 0.623, 0.690, 0.746, 0.796, 0.834

