******************************************************************
records on Chaleran LAP 2015 dataset
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_epsilon_error, train_accuracy
001, 8.2982, 33.0409, 8.2982, 4.3225, 0.3891, 95.0974
002, 7.5873, 32.2111, 7.5873, 4.0047, 0.3560, 95.4389
003, 7.5159, 32.2258, 7.5159, 3.9898, 0.3501, 95.4646
004, 7.0754, 31.6425, 7.0754, 3.7004, 0.3322, 95.7420
005, 7.2139, 31.8709, 7.2139, 3.8192, 0.3410, 95.6204
006, 6.9596, 31.5332, 6.9596, 3.6866, 0.3287, 95.7764
007, 6.8174, 31.3462, 6.8174, 3.6013, 0.3208, 95.8500
008, 6.8346, 31.4030, 6.8346, 3.6401, 0.3214, 95.8195
009, 6.7878, 31.3423, 6.7878, 3.6146, 0.3174, 95.8385
010, 6.6290, 31.1313, 6.6290, 3.5202, 0.3112, 95.9327
011, 6.4618, 30.8912, 6.4618, 3.3945, 0.2997, 96.0603
012, 6.3904, 30.8578, 6.3904, 3.3893, 0.3008, 96.0510
013, 6.3152, 30.7095, 6.3152, 3.2998, 0.2892, 96.1500
014, 6.2489, 30.6694, 6.2489, 3.2677, 0.2871, 96.1774
015, 6.2112, 30.5917, 6.2112, 3.2780, 0.2926, 96.1716
016, 6.0797, 30.4403, 6.0797, 3.1899, 0.2842, 96.2616
017, 6.0800, 30.4503, 6.0800, 3.2107, 0.2809, 96.2345
018, 6.0739, 30.4276, 6.0739, 3.1980, 0.2773, 96.2543
019, 6.0211, 30.3458, 6.0211, 3.1847, 0.2790, 96.2543
020, 5.9932, 30.3388, 5.9932, 3.1708, 0.2815, 96.2725
021, 5.8526, 30.1474, 5.8526, 3.0775, 0.2687, 96.3729
022, 5.8901, 30.2243, 5.8901, 3.1177, 0.2748, 96.3332
023, 5.8262, 30.0919, 5.8262, 3.0698, 0.2677, 96.3785
024, 5.7191, 29.9870, 5.7191, 2.9898, 0.2605, 96.4604
025, 5.6703, 29.8995, 5.6703, 2.9831, 0.2602, 96.4610
026, 5.8662, 30.2010, 5.8662, 3.0783, 0.2644, 96.3634
027, 5.6169, 29.8469, 5.6169, 2.9648, 0.2574, 96.4884
028, 5.6328, 29.8605, 5.6328, 2.9596, 0.2550, 96.4893
029, 5.5589, 29.7834, 5.5589, 2.8959, 0.2480, 96.5449
030, 5.5725, 29.7706, 5.5725, 2.9502, 0.2533, 96.5035
031, 5.4836, 29.6811, 5.4836, 2.8857, 0.2505, 96.5488
032, 5.5126, 29.7531, 5.5126, 2.8945, 0.2522, 96.5471
033, 5.4626, 29.6570, 5.4626, 2.8757, 0.2452, 96.5611
034, 5.6195, 29.8634, 5.6195, 2.9372, 0.2519, 96.4965
035, 5.4070, 29.6009, 5.4070, 2.8314, 0.2443, 96.6070
036, 5.5057, 29.6974, 5.5057, 2.8923, 0.2499, 96.5539
037, 5.4143, 29.5681, 5.4143, 2.8679, 0.2475, 96.5729
038, 5.3252, 29.4675, 5.3252, 2.7852, 0.2387, 96.6523
039, 5.4395, 29.5961, 5.4395, 2.8569, 0.2448, 96.5941
040, 5.3999, 29.5826, 5.3999, 2.8538, 0.2413, 96.5936
041, 5.3438, 29.4868, 5.3438, 2.8037, 0.2429, 96.6408
042, 5.2745, 29.3895, 5.2745, 2.7417, 0.2336, 96.6959
043, 5.3290, 29.4768, 5.3290, 2.8153, 0.2430, 96.6252
044, 5.4879, 29.6682, 5.4879, 2.8826, 0.2471, 96.5572
045, 5.4279, 29.6233, 5.4279, 2.8519, 0.2412, 96.5771
046, 5.4861, 29.6957, 5.4861, 2.9217, 0.2458, 96.5295
047, 5.4002, 29.5779, 5.4002, 2.8555, 0.2474, 96.5832
