******************************************************************
records on Chaleran LAP 2015 dataset
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_epsilon_error, train_accuracy
5.5870, 29.7474, 5.5870, 2.9648, 0.2589, 96.4851
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.334, 0.531, 0.688, 0.785, 0.856, 0.907, 0.940, 0.957, 0.972, 0.983

test_total_loss, test_cross_entropy_loss, test_kl_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
5.5870, 29.7474, 5.5870, 2.9648, 0.2589, 96.4851
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.334, 0.531, 0.688, 0.785, 0.856, 0.907, 0.940, 0.957, 0.972, 0.983

test_total_loss, test_cross_entropy_loss, test_kl_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
5.5870, 29.7474, 5.5870, 2.9648, 0.2589, 96.4851
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.334, 0.531, 0.688, 0.785, 0.856, 0.907, 0.940, 0.957, 0.972, 0.983

