******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_cross_entropy_loss, valid_kl_loss, valid_argmax_MAE, valid_accuracy
001, 20.1558, 48.0176, 20.1558, 10.7928, 88.4583, 16.3444, 43.1194, 16.3444, 8.8939, 90.6247
002, 17.2659, 44.7222, 17.2659, 9.4399, 90.0587, 15.6106, 41.2490, 15.6106, 8.5497, 91.0281
003, 16.2982, 43.5247, 16.2982, 8.8840, 90.6146, 15.0742, 41.3287, 15.0742, 8.1145, 91.2926
004, 15.9726, 43.1308, 15.9726, 8.6976, 90.7967, 13.3539, 39.2577, 13.3539, 7.2729, 92.2449
005, 15.4784, 42.5123, 15.4784, 8.4094, 91.0868, 13.4745, 39.6994, 13.4745, 7.3525, 92.1478
006, 15.1297, 42.0870, 15.1297, 8.2330, 91.2623, 13.3026, 39.3028, 13.3026, 7.3935, 92.1979
007, 14.8811, 41.7696, 14.8811, 8.1279, 91.3700, 13.7378, 40.4480, 13.7378, 7.6096, 91.9659
008, 14.7203, 41.5751, 14.7203, 8.0050, 91.4858, 13.9337, 39.9574, 13.9337, 7.8544, 91.8196
009, 14.4608, 41.2453, 14.4608, 7.8862, 91.6092, 12.8188, 39.6195, 12.8188, 6.8567, 92.5572
010, 14.3238, 41.0798, 14.3238, 7.8320, 91.6663, 13.0290, 40.2791, 13.0290, 6.8582, 92.6224
011, 14.0578, 40.7411, 14.0578, 7.6423, 91.8518, 12.7129, 38.6240, 12.7129, 7.1122, 92.5034
012, 14.0106, 40.6841, 14.0106, 7.6377, 91.8551, 15.1202, 42.2530, 15.1202, 8.3874, 91.3609
013, 13.9132, 40.5644, 13.9132, 7.5515, 91.9428, 13.4354, 39.7894, 13.4354, 7.4162, 92.2055
014, 13.5008, 40.0385, 13.5008, 7.3053, 92.1862, 13.1303, 39.5342, 13.1303, 7.0296, 92.3723
015, 13.5483, 40.1223, 13.5483, 7.3432, 92.1507, 13.2784, 39.9568, 13.2784, 7.0895, 92.2767
016, 13.5545, 40.0995, 13.5545, 7.3628, 92.1333, 12.4417, 38.2490, 12.4417, 6.8097, 92.8006
