******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_cross_entropy_loss, valid_kl_loss, valid_argmax_MAE, valid_accuracy
001, 20.0857, 47.9507, 20.0857, 10.7720, 88.4964, 17.6364, 44.4627, 17.6364, 9.7885, 89.8832
002, 17.1801, 44.6453, 17.1801, 9.3502, 90.1381, 17.6308, 44.9519, 17.6308, 9.8552, 89.8681
003, 16.3155, 43.5545, 16.3155, 8.9721, 90.5305, 14.5659, 41.3080, 14.5659, 8.0364, 91.5716
004, 15.8439, 42.9801, 15.8439, 8.6247, 90.8673, 14.4961, 40.6386, 14.4961, 7.7847, 91.7475
005, 15.6231, 42.7076, 15.6231, 8.5451, 90.9490, 14.5550, 41.5558, 14.5550, 7.9492, 91.6012
006, 15.3296, 42.3308, 15.3296, 8.3694, 91.1204, 13.5248, 40.2807, 13.5248, 7.4094, 92.1395
007, 14.8258, 41.6959, 14.8258, 8.0394, 91.4548, 13.2738, 39.8892, 13.2738, 7.2813, 92.2509
008, 14.5922, 41.4195, 14.5922, 7.9908, 91.5011, 12.6837, 39.4834, 12.6837, 6.9773, 92.5572
009, 14.5132, 41.3251, 14.5132, 7.9364, 91.5574, 12.9064, 38.8349, 12.9064, 6.9242, 92.5155
010, 14.3102, 41.0703, 14.3102, 7.8060, 91.6872, 13.5466, 40.1250, 13.5466, 7.5193, 92.1137
011, 14.0804, 40.7763, 14.0804, 7.6741, 91.8286, 12.9511, 39.7276, 12.9511, 7.2585, 92.3715
012, 13.8651, 40.4951, 13.8651, 7.5601, 91.9356, 13.3881, 40.0963, 13.3881, 7.3821, 92.2767
013, 13.9065, 40.5668, 13.9065, 7.5735, 91.9180, 12.4190, 38.8509, 12.4190, 6.6839, 92.7915
014, 13.6100, 40.1800, 13.6100, 7.4286, 92.0663, 11.9679, 38.1767, 11.9679, 6.4792, 93.0379
015, 13.6090, 40.1863, 13.6090, 7.4106, 92.0825, 12.2652, 38.4550, 12.2652, 6.6482, 92.8089
