******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_cross_entropy_loss, valid_kl_loss, valid_argmax_MAE, valid_accuracy
001, 20.0776, 47.9223, 20.0776, 10.7607, 88.4931, 15.4867, 42.6583, 15.4867, 8.1912, 91.2974
002, 16.9386, 44.3480, 16.9386, 9.2302, 90.2644, 16.0155, 42.9854, 16.0155, 8.9082, 90.7921
003, 16.2211, 43.4337, 16.2211, 8.8381, 90.6600, 14.0852, 41.6689, 14.0852, 7.5668, 91.8832
004, 15.7870, 42.9116, 15.7870, 8.6166, 90.8783, 13.8156, 39.8463, 13.8156, 7.5250, 92.0106
005, 15.4698, 42.5124, 15.4698, 8.4457, 91.0504, 13.4319, 40.1762, 13.4319, 7.1168, 92.3627
006, 15.1541, 42.1212, 15.1541, 8.2988, 91.2006, 13.4088, 39.8236, 13.4088, 7.3627, 92.2610
007, 14.7386, 41.6050, 14.7386, 8.0135, 91.4795, 12.7547, 39.5045, 12.7547, 6.8354, 92.6259
008, 14.6849, 41.5246, 14.6849, 7.9680, 91.5270, 12.7943, 39.1980, 12.7943, 6.8983, 92.6191
009, 14.4623, 41.2572, 14.4623, 7.8581, 91.6313, 12.2929, 38.8386, 12.2929, 6.6806, 92.8824
010, 14.2069, 40.9313, 14.2069, 7.7393, 91.7609, 12.5581, 38.3856, 12.5581, 6.7610, 92.7557
011, 14.1587, 40.8783, 14.1587, 7.7137, 91.7848, 12.2719, 38.4471, 12.2719, 6.6358, 92.9196
012, 13.9597, 40.6173, 13.9597, 7.5551, 91.9380, 12.3617, 38.7241, 12.3617, 6.7261, 92.8369
013, 13.9010, 40.5708, 13.9010, 7.5733, 91.9221, 13.0702, 39.4047, 13.0702, 7.3467, 92.2109
014, 13.6520, 40.2384, 13.6520, 7.4175, 92.0743, 12.2235, 37.9385, 12.2235, 6.7086, 92.7693
015, 13.3744, 39.8946, 13.3744, 7.2956, 92.2007, 12.2635, 38.2488, 12.2635, 6.7352, 92.8058
016, 13.2407, 39.7143, 13.2407, 7.1920, 92.3030, 12.2689, 38.7065, 12.2689, 6.6829, 92.8680
017, 13.3548, 39.8653, 13.3548, 7.2929, 92.2014, 12.2852, 38.3753, 12.2852, 6.6214, 92.8445
018, 13.0996, 39.5538, 13.0996, 7.1781, 92.3168, 11.6339, 37.4177, 11.6339, 6.2458, 93.2602
019, 13.0195, 39.4419, 13.0195, 7.0880, 92.4110, 14.1378, 40.7539, 14.1378, 7.5061, 91.7549
020, 12.8711, 39.2630, 12.8711, 7.0308, 92.4638, 11.5700, 37.9609, 11.5700, 6.2868, 93.1411
021, 13.0100, 39.4576, 13.0100, 7.0562, 92.4405, 11.6704, 37.3305, 11.6704, 6.3005, 93.1426
022, 12.7231, 39.0793, 12.7231, 6.9121, 92.5813, 12.1759, 38.4399, 12.1759, 6.7185, 92.8801
023, 12.6853, 39.0339, 12.6853, 6.9040, 92.5926, 12.1818, 38.1744, 12.1818, 6.4924, 93.0387
024, 12.5623, 38.8768, 12.5623, 6.8188, 92.6810, 12.3102, 38.0691, 12.3102, 6.7701, 92.8384
025, 12.5070, 38.8081, 12.5070, 6.7841, 92.7140, 11.7833, 38.2119, 11.7833, 6.3422, 93.1002
026, 12.4014, 38.6710, 12.4014, 6.7288, 92.7698, 11.7512, 37.9114, 11.7512, 6.3027, 93.1411
027, 12.3299, 38.5990, 12.3299, 6.6937, 92.8061, 11.9142, 37.8083, 11.9142, 6.3020, 93.2390
028, 12.3789, 38.6524, 12.3789, 6.7137, 92.7799, 12.2491, 38.1610, 12.2491, 6.7413, 92.9287
029, 11.9559, 38.1141, 11.9559, 6.4864, 93.0087, 12.1171, 37.8664, 12.1171, 6.3536, 93.1692
030, 12.0293, 38.2034, 12.0293, 6.5343, 92.9565, 11.8936, 37.9414, 11.8936, 6.3073, 93.1821
031, 11.3320, 37.3049, 11.3320, 6.1274, 93.3720, 11.0252, 36.7644, 11.0252, 5.8915, 93.6662
032, 10.8275, 36.6936, 10.8275, 5.8697, 93.6286, 10.9024, 36.6082, 10.9024, 5.7587, 93.7473
033, 10.8149, 36.6751, 10.8149, 5.8534, 93.6394, 10.8532, 36.4946, 10.8532, 5.7223, 93.7534
034, 10.6166, 36.4323, 10.6166, 5.7631, 93.7361, 10.9474, 36.6585, 10.9474, 5.8156, 93.7398
035, 10.4650, 36.2489, 10.4650, 5.6774, 93.8193, 10.9910, 36.8133, 10.9910, 5.7898, 93.7360
036, 10.4126, 36.1618, 10.4126, 5.6387, 93.8565, 10.9682, 36.7549, 10.9682, 5.7314, 93.7701
037, 10.3640, 36.1040, 10.3640, 5.6010, 93.8986, 11.0445, 36.8129, 11.0445, 5.7527, 93.7132
038, 10.3151, 36.0393, 10.3151, 5.5689, 93.9267, 10.9347, 36.5485, 10.9347, 5.6958, 93.7936
039, 10.1733, 35.8790, 10.1733, 5.4942, 93.9973, 10.9489, 36.6627, 10.9489, 5.7200, 93.7838
040, 10.2631, 35.9838, 10.2631, 5.5329, 93.9573, 10.9919, 36.6104, 10.9919, 5.7269, 93.7800
041, 10.1759, 35.8725, 10.1759, 5.5050, 93.9900, 11.0112, 36.6608, 11.0112, 5.7489, 93.7929
042, 10.2286, 35.9464, 10.2286, 5.5164, 93.9764, 11.0589, 36.7328, 11.0589, 5.7549, 93.7997
043, 9.9464, 35.5628, 9.9464, 5.3782, 94.1117, 10.9026, 36.4616, 10.9026, 5.6791, 93.8134
044, 10.0415, 35.7238, 10.0415, 5.4177, 94.0748, 10.9333, 36.6555, 10.9333, 5.6608, 93.8300
045, 9.9769, 35.6100, 9.9769, 5.3577, 94.1329, 10.9361, 36.6067, 10.9361, 5.6206, 93.8907
046, 10.0799, 35.7486, 10.0799, 5.4414, 94.0529, 11.0834, 36.6071, 11.0834, 5.6396, 93.8134
047, 9.9537, 35.5911, 9.9537, 5.3389, 94.1511, 11.0059, 36.5206, 11.0059, 5.6502, 93.8407
048, 9.9444, 35.5825, 9.9444, 5.3777, 94.1155, 11.0082, 36.5387, 11.0082, 5.6259, 93.8467
049, 9.8679, 35.4798, 9.8679, 5.3115, 94.1810, 10.9856, 36.7191, 10.9856, 5.6692, 93.8194
050, 9.7530, 35.3263, 9.7530, 5.2283, 94.2676, 11.1461, 36.9725, 11.1461, 5.6821, 93.7944
051, 9.6611, 35.2485, 9.6611, 5.1796, 94.2979, 11.1060, 36.8372, 11.1060, 5.6791, 93.8566
052, 9.7417, 35.2975, 9.7417, 5.2344, 94.2536, 11.0615, 36.6230, 11.0615, 5.6662, 93.8604
053, 9.7456, 35.3199, 9.7456, 5.2379, 94.2502, 11.0005, 36.4324, 11.0005, 5.6502, 93.8528
054, 9.6342, 35.1993, 9.6342, 5.1523, 94.3350, 10.9792, 36.3993, 10.9792, 5.6548, 93.8801
055, 9.6048, 35.1386, 9.6048, 5.1617, 94.3286, 10.9773, 36.6018, 10.9773, 5.6328, 93.8756
056, 9.6632, 35.2035, 9.6632, 5.1788, 94.3157, 11.0272, 36.7018, 11.0272, 5.6404, 93.8862
057, 9.5710, 35.1116, 9.5710, 5.1462, 94.3440, 11.0345, 36.8505, 11.0345, 5.6950, 93.8422
058, 9.6221, 35.1709, 9.6221, 5.1635, 94.3233, 11.0452, 36.8659, 11.0452, 5.6874, 93.8422
059, 9.6184, 35.1514, 9.6184, 5.1592, 94.3296, 11.0541, 36.8988, 11.0541, 5.6958, 93.8369
060, 9.5655, 35.0806, 9.5655, 5.1452, 94.3473, 10.9612, 36.4442, 10.9612, 5.6396, 93.8816
061, 9.6082, 35.1207, 9.6082, 5.1703, 94.3233, 11.0483, 36.7227, 11.0483, 5.6654, 93.8574
062, 9.6367, 35.1849, 9.6367, 5.1949, 94.2975, 10.9526, 36.6382, 10.9526, 5.6237, 93.8869
063, 9.4406, 34.9074, 9.4406, 5.0622, 94.4267, 10.9673, 36.7605, 10.9673, 5.6320, 93.8627
064, 9.4863, 34.9525, 9.4863, 5.1029, 94.3848, 10.9386, 36.5300, 10.9386, 5.6351, 93.8763
