******************************************************************
records on MORPH2 dataset under S1-S2-S3 protocol
******************************************************************


epoch, train_total_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_argmax_MAE, valid_accuracy
001, 24.8490, 10.8924, 89.0710, 24.6465, 10.9568, 89.0534
002, 21.5482, 9.5446, 90.5369, 19.9229, 8.6937, 91.3541
003, 20.3022, 8.9800, 91.1011, 17.7077, 7.9045, 92.1858
004, 19.8189, 8.7597, 91.3211, 16.6856, 7.3207, 92.7285
005, 19.2352, 8.4661, 91.6123, 17.0223, 7.5883, 92.4710
006, 18.7543, 8.3133, 91.7709, 16.8794, 7.4049, 92.6535
007, 18.5417, 8.1691, 91.9049, 17.1936, 7.6611, 92.4170
008, 18.2428, 8.0580, 92.0180, 17.3699, 7.5428, 92.5183
009, 17.8640, 7.9078, 92.1703, 15.9230, 7.0015, 93.0701
010, 17.8412, 7.8976, 92.1806, 15.8251, 6.9287, 93.1309
011, 17.4726, 7.6963, 92.3732, 15.7327, 6.9174, 93.1489
012, 17.3830, 7.6682, 92.4045, 20.4813, 8.9174, 91.1649
013, 17.2140, 7.5755, 92.4963, 17.4710, 7.7278, 92.3464
014, 16.8103, 7.3874, 92.6873, 16.0059, 7.0667, 92.9942
015, 16.7966, 7.3736, 92.6966, 15.8136, 6.9955, 93.0768
016, 16.7639, 7.3921, 92.6796, 16.5696, 7.2616, 92.7968
017, 16.4369, 7.2402, 92.8275, 15.2620, 6.6073, 93.4506
018, 16.3098, 7.1364, 92.9344, 15.3199, 6.7945, 93.2585
019, 16.0808, 7.0700, 92.9984, 15.7245, 6.7612, 93.3058
020, 15.9824, 7.0685, 93.0015, 14.5572, 6.3381, 93.7239
021, 15.8019, 6.9933, 93.0725, 14.9316, 6.5087, 93.5542
022, 15.6999, 6.9245, 93.1415, 14.8708, 6.4738, 93.5948
023, 15.7228, 6.9048, 93.1590, 14.2756, 6.2570, 93.7974
024, 15.4718, 6.7938, 93.2724, 14.5139, 6.4754, 93.5842
025, 15.4295, 6.7890, 93.2760, 14.4986, 6.2085, 93.8470
026, 15.3497, 6.7658, 93.3022, 14.5581, 6.3306, 93.7239
027, 15.4058, 6.7487, 93.3162, 14.8835, 6.4746, 93.5933
