******************************************************************
records on MORPH2 dataset under S1-S2-S3 protocol
******************************************************************


epoch, train_total_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_argmax_MAE, valid_accuracy
001, 24.9980, 10.9833, 88.9932, 22.9910, 10.1213, 89.8753
002, 21.7245, 9.6739, 90.3962, 19.8266, 8.6892, 91.3548
003, 20.4954, 9.0702, 91.0123, 18.8243, 8.2441, 91.8330
004, 20.0154, 8.8282, 91.2512, 17.8081, 7.7839, 92.2879
005, 19.4234, 8.5967, 91.4834, 17.6346, 7.8628, 92.2128
006, 19.0599, 8.4260, 91.6560, 17.2895, 7.5466, 92.5116
007, 18.6772, 8.2484, 91.8300, 18.5428, 8.2335, 91.8435
008, 18.4441, 8.1567, 91.9265, 16.6680, 7.3002, 92.7721
009, 17.9214, 7.9371, 92.1363, 17.1734, 7.5390, 92.5431
010, 17.9423, 7.9236, 92.1537, 15.8882, 7.0864, 92.9785
011, 17.5466, 7.7310, 92.3438, 16.0616, 7.0978, 92.9567
012, 17.6364, 7.7983, 92.2783, 19.9765, 8.6277, 91.4494
013, 17.1599, 7.5327, 92.5413, 16.9786, 7.5193, 92.5469
014, 17.0582, 7.5405, 92.5341, 16.0030, 7.0008, 93.0671
015, 16.9065, 7.4560, 92.6213, 18.5147, 8.0955, 91.9891
016, 16.8165, 7.3952, 92.6768, 15.2957, 6.6353, 93.4326
017, 16.5875, 7.2955, 92.7749, 16.0643, 6.9886, 93.0731
018, 16.4838, 7.2255, 92.8457, 15.4929, 6.7998, 93.2622
019, 16.3908, 7.2445, 92.8269, 17.2967, 7.5436, 92.5221
020, 16.0940, 7.1125, 92.9583, 15.0316, 6.6702, 93.4026
021, 15.9736, 7.0157, 93.0535, 15.2975, 6.7210, 93.3448
022, 15.8664, 6.9800, 93.0907, 15.1295, 6.6050, 93.4574
023, 15.7090, 6.8842, 93.1847, 15.0390, 6.5732, 93.4867
024, 15.5188, 6.8254, 93.2420, 15.1518, 6.6505, 93.4078
025, 15.5268, 6.8594, 93.2061, 15.1679, 6.6202, 93.4424
026, 15.4753, 6.8104, 93.2575, 15.1136, 6.4837, 93.5842
027, 15.3794, 6.7689, 93.2964, 15.6466, 6.8218, 93.2405
028, 15.0770, 6.6231, 93.4415, 14.7756, 6.4716, 93.5895
029, 15.0968, 6.6047, 93.4607, 15.7551, 6.7786, 93.2802
030, 14.8378, 6.5455, 93.5209, 14.9151, 6.4829, 93.5797
031, 13.9271, 6.0560, 94.0033, 14.0411, 6.0402, 94.0196
032, 13.5396, 5.9217, 94.1369, 13.8665, 5.9917, 94.0677
033, 13.3657, 5.8223, 94.2365, 13.8638, 5.9469, 94.1120
034, 13.1321, 5.7535, 94.3042, 13.7830, 5.8810, 94.1788
035, 12.9911, 5.6412, 94.4156, 14.1959, 5.9719, 94.0857
036, 12.9764, 5.6611, 94.3955, 13.9759, 5.9424, 94.1165
037, 12.8640, 5.6105, 94.4450, 14.0121, 5.9469, 94.1120
038, 12.8001, 5.5564, 94.4988, 14.0440, 5.9530, 94.1082
039, 12.5851, 5.4869, 94.5680, 13.9724, 5.8453, 94.2125
040, 12.7910, 5.6288, 94.4278, 13.9108, 5.8332, 94.2230
041, 12.5464, 5.4581, 94.5970, 14.0733, 5.9325, 94.1270
042, 12.4324, 5.4331, 94.6198, 13.9448, 5.8734, 94.1840
043, 12.3644, 5.3870, 94.6663, 14.0608, 5.8567, 94.1998
044, 12.4818, 5.4367, 94.6184, 14.0774, 5.8939, 94.1667
045, 12.4003, 5.4466, 94.6086, 13.9185, 5.8112, 94.2456
046, 12.1424, 5.2877, 94.7651, 14.1255, 5.8469, 94.2118
047, 12.2814, 5.3335, 94.7203, 14.1248, 5.8196, 94.2373
048, 12.2186, 5.3442, 94.7084, 14.1366, 5.8529, 94.2050
