******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_argmax_MAE, train_exp_MAE, valid_loss, valid_argmax_MAE, valid_exp_MAE
001, 4.2555, 13.2972, 12.0308, 3.9816, 11.1108, 9.7931
002, 4.0257, 10.9620, 10.1844, 3.9209, 10.1138, 9.0603
003, 3.9356, 10.1901, 9.5024, 3.8622, 10.3741, 8.3216
004, 3.8762, 9.7163, 9.0667, 3.8252, 9.2693, 8.1206
005, 3.8451, 9.4291, 8.8560, 3.6874, 7.7466, 7.3901
006, 3.8048, 9.2136, 8.6053, 3.7785, 8.9476, 8.0767
007, 3.7815, 8.8928, 8.4240, 3.6841, 7.8452, 7.3525
008, 3.7558, 8.8756, 8.3249, 3.6777, 7.9446, 7.3077
009, 3.7424, 8.7999, 8.2734, 3.6477, 7.6297, 7.1146
010, 3.7164, 8.6252, 8.0744, 3.6191, 7.6237, 6.9268
011, 3.7047, 8.5110, 8.0328, 3.6251, 7.5334, 7.0296
012, 3.6936, 8.4408, 7.9246, 3.6123, 7.1495, 6.9714
013, 3.6780, 8.4237, 7.9017, 3.6798, 8.0243, 7.0458
014, 3.6639, 8.2340, 7.8097, 3.6345, 7.6222, 6.9216
015, 3.6378, 8.0726, 7.6129, 3.6309, 7.4423, 6.6152
016, 3.6426, 8.2112, 7.6812, 3.6279, 7.4249, 7.0570
017, 3.6319, 8.1588, 7.6621, 3.6190, 7.1942, 6.7407
018, 3.6131, 8.1148, 7.5870, 3.6490, 7.5068, 6.7880
019, 3.6033, 8.0291, 7.5522, 3.7299, 8.0690, 7.3744
020, 3.5904, 7.9488, 7.4724, 3.6439, 7.5706, 6.7892
021, 3.5953, 8.0376, 7.5427, 3.6270, 7.1791, 6.9179
022, 3.5766, 7.8664, 7.4092, 3.6195, 7.4530, 6.6266
023, 3.5622, 7.8297, 7.3035, 3.6282, 7.3126, 6.7208
024, 3.5571, 7.8578, 7.3405, 3.6167, 7.2413, 6.6898
025, 3.5424, 7.6749, 7.2126, 3.6178, 7.2307, 6.5713
026, 3.5385, 7.8048, 7.3017, 3.6718, 7.2511, 7.0024
027, 3.5352, 7.8584, 7.2798, 3.6363, 7.0865, 6.6633
028, 3.5212, 7.9072, 7.2681, 4.0667, 9.2587, 8.7116
029, 3.5049, 7.6237, 7.1305, 3.6473, 7.2792, 6.6671
030, 3.4981, 7.6414, 7.1395, 3.6790, 7.3498, 6.7236
