******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_argmax_MAE, train_exp_MAE, valid_loss, valid_argmax_MAE, valid_exp_MAE
001, 4.2668, 14.3065, 13.0578, 4.1468, 12.0326, 11.4419
002, 4.0662, 11.7921, 11.1246, 3.9950, 10.8506, 9.8347
003, 3.9555, 10.7335, 10.0618, 3.8783, 9.4230, 8.8365
004, 3.8879, 10.3104, 9.6161, 3.8210, 9.0091, 8.2862
005, 3.8328, 9.8545, 9.2092, 3.7982, 8.9234, 8.0843
006, 3.7872, 9.4822, 8.9315, 3.7792, 8.2737, 7.6378
007, 3.7504, 9.3128, 8.7180, 3.7590, 8.2669, 7.6269
008, 3.7070, 9.1578, 8.5314, 3.7797, 8.5701, 7.5002
009, 3.6820, 8.9052, 8.3047, 3.7589, 8.3222, 7.4843
010, 3.6524, 8.8570, 8.2273, 3.7298, 8.0152, 7.2330
011, 3.6241, 8.7301, 8.1139, 3.7184, 7.9689, 7.1817
012, 3.6056, 8.6509, 8.0457, 3.7365, 7.9507, 7.0578
013, 3.5652, 8.4301, 7.8711, 3.7514, 7.9848, 7.1009
014, 3.5386, 8.2695, 7.7521, 3.7527, 7.7635, 6.9275
015, 3.5166, 8.2608, 7.6916, 3.7430, 7.7779, 6.9155
016, 3.4931, 8.2561, 7.6814, 3.7410, 7.9750, 6.9290
017, 3.4571, 8.0722, 7.5452, 3.7470, 7.8150, 6.8035
018, 3.4357, 8.0768, 7.4791, 3.7718, 7.6285, 6.8290
019, 3.3932, 7.8818, 7.3715, 3.8228, 7.8332, 7.0234
020, 3.3749, 7.8614, 7.3893, 3.7771, 7.9113, 6.7758
021, 3.3376, 7.7599, 7.2755, 3.8071, 7.6308, 6.8251
022, 3.3182, 7.6168, 7.2230, 3.8733, 8.1039, 6.9389
023, 3.2863, 7.7146, 7.2101, 3.8808, 7.8264, 6.7480
024, 3.2442, 7.4542, 7.0582, 3.8888, 7.9575, 6.9409
025, 3.2125, 7.4437, 7.0376, 3.9106, 8.0182, 7.1089
026, 3.1860, 7.4567, 7.0673, 3.9647, 7.7142, 6.9644
027, 3.1488, 7.2959, 6.8823, 3.9402, 7.7597, 6.7552
028, 3.1130, 7.1680, 6.8623, 3.9718, 7.7286, 6.8405
029, 3.0880, 7.1470, 6.8634, 4.0152, 7.8347, 6.8741
030, 3.0475, 6.9921, 6.7903, 4.0175, 7.6899, 6.8651
031, 2.8775, 6.4757, 6.4237, 3.9524, 7.5512, 6.6208
032, 2.8293, 6.3147, 6.3848, 3.9557, 7.4738, 6.6319
033, 2.8067, 6.2971, 6.3189, 3.9770, 7.4337, 6.6007
034, 2.7905, 6.1414, 6.2914, 3.9772, 7.3518, 6.6082
035, 2.7843, 6.1384, 6.2780, 3.9901, 7.3313, 6.5926
036, 2.7711, 6.2209, 6.2952, 3.9805, 7.5042, 6.6394
037, 2.7720, 6.2345, 6.3269, 3.9908, 7.4602, 6.5982
038, 2.7552, 6.0283, 6.2254, 4.0029, 7.4049, 6.6386
039, 2.7238, 6.0943, 6.1739, 4.0149, 7.3776, 6.6165
040, 2.7314, 5.9902, 6.1160, 4.0321, 7.4784, 6.6248
041, 2.7252, 6.0259, 6.2182, 4.0213, 7.3935, 6.6405
042, 2.7128, 6.0464, 6.1563, 4.0234, 7.4807, 6.5970
043, 2.6949, 5.9441, 6.1042, 4.0347, 7.4124, 6.6206
044, 2.7023, 6.1483, 6.2557, 4.0546, 7.4253, 6.6529
045, 2.6879, 5.9641, 6.1328, 4.0349, 7.4238, 6.6242
046, 2.6679, 5.8583, 6.0800, 4.0577, 7.4443, 6.6491
047, 2.6726, 5.9689, 6.0882, 4.0441, 7.5641, 6.6289
048, 2.6584, 5.8907, 6.0710, 4.0662, 7.4890, 6.6455
049, 2.6436, 5.8783, 6.0438, 4.0911, 7.4996, 6.6517
050, 2.6299, 5.8235, 6.0397, 4.0926, 7.4382, 6.6700
051, 2.6120, 5.9334, 6.0680, 4.0595, 7.3859, 6.6200
052, 2.6053, 5.7254, 5.9955, 4.0879, 7.4746, 6.6132
053, 2.5958, 5.6361, 5.8881, 4.0742, 7.5512, 6.6333
054, 2.5991, 5.6816, 5.9823, 4.0759, 7.5997, 6.6696
055, 2.6011, 5.6575, 5.9429, 4.0852, 7.4443, 6.6358
056, 2.6209, 5.8673, 6.0494, 4.0818, 7.4981, 6.6197
057, 2.5985, 5.6749, 5.9048, 4.0662, 7.4276, 6.6158
058, 2.5935, 5.7634, 6.0542, 4.0979, 7.4018, 6.6363
059, 2.5925, 5.7015, 5.9731, 4.0899, 7.5921, 6.6494
060, 2.6100, 5.8497, 6.0455, 4.0772, 7.5663, 6.6316
061, 2.5917, 5.7169, 5.9365, 4.0625, 7.4655, 6.5994
062, 2.5859, 5.6782, 5.9392, 4.0772, 7.4549, 6.6147
063, 2.5794, 5.6704, 5.9207, 4.0821, 7.5216, 6.6175
064, 2.5955, 5.6445, 5.9405, 4.0789, 7.5307, 6.6142
065, 2.5966, 5.7524, 5.9764, 4.0929, 7.4617, 6.6224
test_loss, test_argmax_MAE:
3.9468, 7.4143
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
