******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_argmax_MAE, train_exp_MAE, valid_loss, valid_argmax_MAE, valid_exp_MAE
001, 4.2474, 13.1063, 11.8221, 4.0565, 11.1259, 10.2389
002, 4.0260, 10.9917, 10.1654, 3.9808, 10.3692, 9.6236
003, 3.9348, 10.0757, 9.4090, 3.7993, 9.0948, 8.2443
004, 3.8862, 9.8039, 9.1446, 3.7391, 8.3518, 7.5994
005, 3.8330, 9.3280, 8.7275, 3.7462, 8.2305, 7.9804
006, 3.8016, 9.2333, 8.5905, 3.7224, 8.5155, 7.5515
007, 3.7810, 8.9554, 8.4218, 3.7025, 8.1827, 7.5877
008, 3.7473, 8.7172, 8.1984, 3.7364, 8.4026, 7.7263
009, 3.7318, 8.6705, 8.1405, 3.6702, 7.8992, 7.1992
010, 3.7202, 8.6274, 8.0616, 3.7003, 8.0258, 7.3847
011, 3.6930, 8.4604, 7.9032, 3.6351, 7.6823, 6.9813
012, 3.6878, 8.3745, 7.9318, 3.8708, 9.0356, 8.3701
013, 3.6782, 8.3502, 7.8259, 3.8365, 8.9166, 8.2563
014, 3.6519, 8.1672, 7.6919, 3.6511, 7.6543, 7.2785
015, 3.6444, 8.1548, 7.6759, 3.6560, 7.6103, 7.0407
016, 3.6409, 8.2490, 7.6819, 3.6901, 7.7346, 7.3835
017, 3.6189, 8.0415, 7.5504, 3.6021, 7.5042, 6.9233
018, 3.6227, 8.0499, 7.5674, 3.7196, 8.5732, 7.3855
019, 3.6004, 8.0336, 7.5018, 3.6561, 7.6361, 6.8377
020, 3.5847, 7.9186, 7.4250, 3.6136, 7.2426, 6.7365
021, 3.5880, 7.8789, 7.4198, 3.6397, 7.8999, 7.0728
022, 3.5672, 7.8537, 7.3513, 3.6455, 7.1948, 6.9665
023, 3.5677, 7.8224, 7.3296, 3.6561, 7.7384, 6.9650
024, 3.5520, 7.8181, 7.2849, 3.6773, 7.7892, 6.9779
025, 3.5462, 7.7791, 7.2668, 3.5768, 6.9272, 6.6159
026, 3.5374, 7.7379, 7.2150, 3.6213, 7.3844, 6.7523
027, 3.5340, 7.7516, 7.2733, 3.6761, 7.5504, 6.7786
028, 3.5252, 7.7317, 7.2136, 3.6071, 6.9318, 6.5116
029, 3.5068, 7.5609, 7.0840, 3.7431, 7.7559, 7.3108
